,AAON
Price/Earnings (TTM),62.55972
Price/Sales (TTM),5.42441
Price/Book (MRQ),7.98035
Price/Cash Flow (TTM),41.33924
5yr Low,29.05
5yr High,83.79
5yr Avg Return,0.15313333333333334
EPS Growth 5yr,0.0183373
Revenue Growth 5yr,0.0683936
Dividend Growth 5yr,0.0962623
Short Int Current Month,666129.0
Short Int Prev Month,893577.0
Short Int Pct of Float,0.0157691
Days to Cover,2.80083
Float,42.26687
Shares Outstanding,53.19954
Institutions Holding Shares,283.0
% Held by Institutions,0.7016979999999999
FCF Growth 5yr,-1.7532917211224064
