,AAON
% Below High,0.062400000000000004
% Held by Institutions,0.7017
52-Wk Range,['47.50 - 83.79']
Annual Dividend $,0.48
Annual Dividend %,0.0060999999999999995
Ask,126.28
Ask Size,200.0
B/A Ratio,1.5
B/A Size,300x200
Beta,0.8
Bid,70.56
Bid Size,300.0
Closing Price,78.56
Day Change $,0.15
Day Change %,0.0019
Day High,79.48
Day Low,78.43
Dividend Pay Date,2022-12-16 00:00:00
"EPS (TTM, GAAP)",1.26
Ex-dividend,2022-11-25 00:00:00
Ex-dividend Date,11/25/22
Historical Volatility,0.384
Last (size),21.0
Last (time),1:00p ET 11/25/22
Market Cap,4.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",62.56
Prev Close,78.41
Short Interest,0.0158
Today's Open,78.45
Volume,42676.0
Volume 10-day Avg,190222.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-01 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,0.17021276595744683
Growth 1yr High Est,0.2152777777777779
Growth 1yr Consensus Est,0.19274527186761237
Growth 2yr Low Est,0.26995486782720823
Growth 2yr High Est,0.3362103174603175
Growth 2yr Consensus Est,0.30308259264376286
Growth 5yr Low Est,0.24103803997421014
Growth 5yr High Est,0.2676197218369548
Growth 5yr Consensus Est,0.2543288809055825
Growth 5yr Actual/Est,0.2764648339159582
Growth 3yr Historic,0.05126199415936586
Price/Earnings (TTM),62.55972
Price/Sales (TTM),5.42441
Price/Book (MRQ),7.98035
Price/Cash Flow (TTM),41.33924
5yr Low,29.05
5yr High,83.79
5yr Avg Return,0.15313333333333334
EPS Growth 5yr,0.0183373
Revenue Growth 5yr,0.0683936
Dividend Growth 5yr,0.0962623
Short Int Current Month,666129.0
Short Int Prev Month,893577.0
Short Int Pct of Float,0.0157691
Days to Cover,2.80083
Float,42.26687
Shares Outstanding,53.19954
Institutions Holding Shares,283.0
FCF Growth 5yr,-1.7532917211224064
"Price/Earnings (TTM, GAAP)",62.56
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2409
Operating Profit Margin (TTM),0.11109999999999999
Net Profit Margin (TTM),0.08779999999999999
Annual Dividend Yield,0.0061
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.059000000000000004
EPS Growth (MRQ),0.7134
EPS Growth (TTM),-0.058499999999999996
Revenue Growth (MRQ),0.1618
Revenue Growth (TTM),0.4963
Return On Equity (TTM),0.1464
Return On Assets (TTM),0.1039
Return On Investment (TTM),0.12460000000000002
Revenue Per Employee (TTM),267432.0
Total Debt/Total Capital (MRQ),0.13640000000000002
Change in Debt/Total Capital Quarter over Quarter,0.075
Quick Ratio (MRQ),1.12
Interest Coverage (MRQ),38.47
newConstructs,rating-box
researchTeam,rating-box
ford,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
newConstructs since,2022-11-26 00:00:00
researchTeam since,2022-01-07 00:00:00
ford since,2022-01-07 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2022-11-10 00:00:00
