,MDU
% Below High,0.0236
% Held by Institutions,0.7281
52-Wk Range,['24.92 - 32.19']
Annual Dividend $,0.89
Annual Dividend %,0.028300000000000002
Ask,31.61
Ask Size,
B/A Ratio,
B/A Size,--
Beta,0.8
Bid,
Bid Size,
Closing Price,31.43
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2023-01-01 00:00:00
"EPS (TTM, GAAP)",1.61
Ex-dividend,2022-12-07 00:00:00
Ex-dividend Date,12/07/22
Historical Volatility,0.253
Last (size),9.0
Last (time),5:00p ET 11/25/22
Market Cap,6.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",19.5
Prev Close,31.43
Short Interest,0.0147
Today's Open,
Volume,209372.0
Volume 10-day Avg,718657.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-08 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,-0.04864864864864871
Growth 1yr High Est,-0.08121827411167504
Growth 1yr Consensus Est,-0.06493346138016187
Growth 2yr Low Est,0.08647113022113012
Growth 2yr High Est,0.06712566957399674
Growth 2yr Consensus Est,0.07679839989756343
Growth 5yr Low Est,0.05764742014742008
Growth 5yr High Est,0.04475044638266449
Growth 5yr Consensus Est,0.05119893326504229
Growth 5yr Actual/Est,0.0723528179245298
Growth 3yr Historic,0.028205128205128244
Price/Earnings (TTM),19.50006
Price/Sales (TTM),1.03644
Price/Book (MRQ),1.88712
Price/Cash Flow (TTM),9.91641
5yr Low,15.0
5yr High,35.02
5yr Avg Return,0.030266666666666667
EPS Growth 5yr,0.09454090000000001
Revenue Growth 5yr,0.0658977
Dividend Growth 5yr,0.025348600000000002
Short Int Current Month,2971608.0
Short Int Prev Month,4096700.0
Short Int Pct of Float,0.014746200000000001
Days to Cover,2.96859
Float,201.6241
Shares Outstanding,203.3507
Institutions Holding Shares,467.0
FCF Growth 5yr,1.4715975571225706
"Price/Earnings (TTM, GAAP)",19.5
"PEG Ratio (TTM, GAAP)",3.61
Gross Profit Margin (TTM),-2.2768
Operating Profit Margin (TTM),0.081
Net Profit Margin (TTM),0.053200000000000004
Annual Dividend Yield,0.028300000000000002
Dividend Change %,0.024100000000000003
"Dividend Growth Rate, 3 Years",0.024700000000000003
EPS Growth (MRQ),1.2257
EPS Growth (TTM),-0.2241
Revenue Growth (MRQ),0.21489999999999998
Revenue Growth (TTM),0.0965
Return On Equity (TTM),0.09960000000000001
Return On Assets (TTM),0.037200000000000004
Return On Investment (TTM),0.042800000000000005
Revenue Per Employee (TTM),480790.0
Total Debt/Total Capital (MRQ),0.47200000000000003
Change in Debt/Total Capital Quarter over Quarter,0.0013000000000000002
Quick Ratio (MRQ),1.06
Interest Coverage (MRQ),4.29
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2021-08-13 00:00:00
theStreet since,2020-10-23 00:00:00
ford since,2021-01-15 00:00:00
cfra since,
marketEdge opinion since,
