,MDU,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",19.5,41.93,Valuation,0.4650608156451228
Price/Sales (TTM),1.04,1.42,Valuation,0.7323943661971831
Price/Book (MRQ),1.89,3.73,Valuation,0.5067024128686327
"PEG Ratio (TTM, GAAP)",3.61,0.71,Valuation,5.084507042253521
Gross Profit Margin (TTM),-2.2768,0.0432,Profitability,-52.7037037037037
Operating Profit Margin (TTM),0.081,0.0655,Profitability,1.2366412213740459
Net Profit Margin (TTM),0.053200000000000004,0.041299999999999996,Profitability,1.288135593220339
Annual Dividend Yield,0.028300000000000002,0.0045000000000000005,Dividend,6.288888888888889
Dividend Change %,0.024100000000000003,0.127,Dividend,0.18976377952755907
"Dividend Growth Rate, 3 Years",0.024700000000000003,0.0315,Dividend,0.7841269841269842
EPS Growth (MRQ),1.2257,0.0989,Gowth rates,12.393326592517695
EPS Growth (TTM),-0.2241,0.5874,Gowth rates,-0.381511746680286
Revenue Growth (MRQ),0.21489999999999998,0.233,Gowth rates,0.9223175965665235
Revenue Growth (TTM),0.0965,0.2229,Gowth rates,0.43292956482727685
Return On Equity (TTM),0.09960000000000001,0.1057,Effectiveness,0.9422894985808894
Return On Assets (TTM),0.037200000000000004,0.0404,Effectiveness,0.9207920792079209
Return On Investment (TTM),0.042800000000000005,0.0584,Effectiveness,0.7328767123287672
Revenue Per Employee (TTM),480790.0,447825.0,Effectiveness,1.0736113437168537
Total Debt/Total Capital (MRQ),0.47200000000000003,0.40990000000000004,Financial strength,1.1515003659429128
Change in Debt/Total Capital Quarter over Quarter,0.0013000000000000002,0.004,Financial strength,0.325
Quick Ratio (MRQ),1.06,1.07,Financial strength,0.9906542056074766
Interest Coverage (MRQ),4.29,12.43,Financial strength,0.3451327433628319
