,ALHC
% Above Low,0.9642000000000001
% Held by Institutions,0.8336
52-Wk Range,['6.14 - 19.17']
Annual Dividend $,
Annual Dividend %,
Ask,13.91
Ask Size,2800.0
B/A Ratio,0.07142857142857142
B/A Size,200x2800
Beta,
Bid,11.09
Bid Size,200.0
Closing Price,12.06
Day Change $,0.49
Day Change %,0.0424
Day High,12.09
Day Low,11.47
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.78
Ex-dividend Date,No dividend
Historical Volatility,0.7000000000000001
Last (size),40.0
Last (time),1:00p ET 11/25/22
Market Cap,2.3B
"P/E Ratio (TTM, GAAP)",
Prev Close,11.57
Short Interest,0.0298
Today's Open,11.58
Volume,514498.0
Volume 10-day Avg,635665.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2023-03-02 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.09756097560975618
Growth 2yr High Est,-0.17721518987341778
Growth 2yr Consensus Est,-0.0398271071318308
Growth 5yr Low Est,0.09756097560975618
Growth 5yr High Est,-0.17721518987341778
Growth 5yr Consensus Est,-0.0398271071318308
Growth 5yr Actual/Est,-0.187946718648473
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),1.6477
Price/Book (MRQ),8.29856
Price/Cash Flow (TTM),
5yr Low,6.14
5yr High,28.59
5yr Avg Return,-0.2051
Short Int Current Month,2797887.0
Short Int Prev Month,3532910.0
Short Int Pct of Float,0.029800300000000002
Days to Cover,3.92079
Float,172.804
Shares Outstanding,187.261
Institutions Holding Shares,203.0
FCF Growth 5yr,-3.0940174179397677
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.1366
Operating Profit Margin (TTM),-0.0892
Net Profit Margin (TTM),-0.10250000000000001
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-2.4589
EPS Growth (TTM),0.20370000000000002
Revenue Growth (MRQ),-0.0167
Revenue Growth (TTM),0.23170000000000002
Return On Equity (TTM),-0.4705
Return On Assets (TTM),-0.1959
Return On Investment (TTM),-0.3057
Revenue Per Employee (TTM),1618208.0
Total Debt/Total Capital (MRQ),0.3712
Change in Debt/Total Capital Quarter over Quarter,-0.0009
Quick Ratio (MRQ),
Interest Coverage (MRQ),-7.13
researchTeam,rating-box
ford,rating-box
cfra,
theStreet,rating-box
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-05-19 00:00:00
ford since,2022-11-04 00:00:00
cfra since,
theStreet since,2022-05-19 00:00:00
newConstructs since,
marketEdge opinion since,
