,ALHC,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,29.13,Valuation,
Price/Sales (TTM),1.65,1.32,Valuation,1.2499999999999998
Price/Book (MRQ),8.3,4.31,Valuation,1.9257540603248264
"PEG Ratio (TTM, GAAP)",,0.26,Valuation,
Gross Profit Margin (TTM),0.1366,0.1318,Profitability,1.0364188163884673
Operating Profit Margin (TTM),-0.0892,0.0458,Profitability,-1.9475982532751093
Net Profit Margin (TTM),-0.10250000000000001,0.0242,Profitability,-4.2355371900826455
Annual Dividend Yield,,0.0108,Dividend,
Dividend Change %,,7.1517,Dividend,
"Dividend Growth Rate, 3 Years",,0.3483,Dividend,
EPS Growth (MRQ),-2.4589,-0.1478,Gowth rates,16.636671177266578
EPS Growth (TTM),0.20370000000000002,-1.101,Gowth rates,-0.18501362397820165
Revenue Growth (MRQ),-0.0167,0.0931,Gowth rates,-0.17937701396348013
Revenue Growth (TTM),0.23170000000000002,0.1191,Gowth rates,1.9454240134340892
Return On Equity (TTM),-0.4705,7.2022,Effectiveness,-0.0653272611146594
Return On Assets (TTM),-0.1959,0.0403,Effectiveness,-4.861042183622828
Return On Investment (TTM),-0.3057,0.016,Effectiveness,-19.106250000000003
Revenue Per Employee (TTM),1618208.0,1375304.0,Effectiveness,1.1766184058215492
Total Debt/Total Capital (MRQ),0.3712,0.4855,Financial strength,0.764572605561277
Change in Debt/Total Capital Quarter over Quarter,-0.0009,0.0015,Financial strength,-0.6
Quick Ratio (MRQ),,0.31,Financial strength,
Interest Coverage (MRQ),-7.13,9.55,Financial strength,-0.7465968586387434
