,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,376.25,71.25,,,,,
low,63.0,12.77,,,,,
change,-0.7495999999999999,-0.7907,,,,,
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash,,,219.0,141.0,195.0,139.0,Balance Sheet
Cash & Equivalents,,,556.0,195.0,83.0,208.0,Balance Sheet
"Total Receivables, Net",,,42.0,49.0,50.0,56.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,26.0,Balance Sheet
"Goodwill, Net",,,54.0,54.0,54.0,0.0,Balance Sheet
Intangibles - Net,,,58.0,61.0,63.0,65.0,Balance Sheet
Long Term Investments,,,64.0,435.0,454.0,331.0,Balance Sheet
Insurance Receivables,,,57.0,61.0,67.0,90.0,Balance Sheet
Restricted Cash - LT,,,43.0,45.0,47.0,46.0,Balance Sheet
Reinsurance - Asset,,,267.0,321.0,291.0,337.0,Balance Sheet
Other Assets,,,283.0,312.0,326.0,333.0,Balance Sheet
"Other Assets, Total",,,550.0,633.0,617.0,670.0,Balance Sheet
Total Assets,,,1643.0,1675.0,1629.0,1630.0,Balance Sheet
Accrued Expenses,,,41.0,58.0,60.0,61.0,Balance Sheet
Insurance Reserves,,,266.0,289.0,276.0,329.0,Balance Sheet
Unearned Prem. Or Rev.,,,253.0,252.0,283.0,317.0,Balance Sheet
Reinsurance - Liability,,,159.0,202.0,192.0,216.0,Balance Sheet
Policy Liabilities,,,678.0,742.0,752.0,861.0,Balance Sheet
Notes Payable/ST Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Long Term Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
Minority Interest,,,2.0,3.0,2.0,4.0,Balance Sheet
"Other Liabilities, Total",,,62.0,66.0,66.0,68.0,Balance Sheet
Total Liabilities,,,783.0,869.0,880.0,995.0,Balance Sheet
Redeemable Preferred Stock,,,0.0,,,,Balance Sheet
Common Stock,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,1488.0,1504.0,1523.0,1541.0,Balance Sheet
