,HIPO,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,19.05,Valuation,
Price/Sales (TTM),2.94,2.31,Valuation,1.2727272727272727
Price/Book (MRQ),0.54,3.65,Valuation,0.14794520547945206
"PEG Ratio (TTM, GAAP)",,6.78,Valuation,
Gross Profit Margin (TTM),,0.0207,Profitability,
Operating Profit Margin (TTM),-2.4414,0.1342,Profitability,-18.192250372578236
Net Profit Margin (TTM),-2.8043,0.1081,Profitability,-25.94172062904718
Annual Dividend Yield,,0.0167,Dividend,
Dividend Change %,,-0.004,Dividend,
"Dividend Growth Rate, 3 Years",,0.0233,Dividend,
EPS Growth (MRQ),-0.7428,-0.11750000000000001,Gowth rates,6.321702127659575
EPS Growth (TTM),0.1313,-0.0281,Gowth rates,-4.672597864768683
Revenue Growth (MRQ),0.0697,0.0922,Gowth rates,0.7559652928416485
Revenue Growth (TTM),0.5344,0.0431,Gowth rates,12.39907192575406
Return On Equity (TTM),-0.43090000000000006,0.35479999999999995,Effectiveness,-1.2144870349492676
Return On Assets (TTM),-0.1979,0.031200000000000002,Effectiveness,-6.342948717948717
Return On Investment (TTM),,0.032,Effectiveness,
Revenue Per Employee (TTM),186796.0,1270541.0,Effectiveness,0.1470208360060793
Total Debt/Total Capital (MRQ),0.0,0.38939999999999997,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0019,Financial strength,
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),,10.36,Financial strength,
