,HIPO
% Above Low,0.1602
% Held by Institutions,0.7256
52-Wk Range,['12.77 - 96.25']
Annual Dividend $,
Annual Dividend %,
Ask,14.98
Ask Size,100.0
B/A Ratio,10.0
B/A Size,1000x100
Beta,
Bid,14.75
Bid Size,1000.0
Closing Price,14.81
Day Change $,1.03
Day Change %,0.0747
Day High,14.94
Day Low,13.8
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-14.61
Ex-dividend Date,No dividend
Historical Volatility,0.8200000000000001
Last (size),3.0
Last (time),5:00p ET 11/25/22
Market Cap,340.9M
"P/E Ratio (TTM, GAAP)",
Prev Close,13.78
Short Interest,0.0508
Today's Open,13.97
Volume,147437.0
Volume 10-day Avg,134102.0
Volume Past Day,(Average)
Next Earnings Announcement,2023-03-09 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.3512786002691789
Growth 2yr High Est,-0.4852112676056338
Growth 2yr Consensus Est,-0.41824493393740636
Growth 5yr Low Est,-0.3512786002691789
Growth 5yr High Est,-0.4852112676056338
Growth 5yr Consensus Est,-0.41824493393740636
Growth 5yr Actual/Est,-0.4887211748523343
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),2.94443
Price/Book (MRQ),0.53785
Price/Cash Flow (TTM),
5yr Low,12.77
5yr High,376.25
5yr Avg Return,-0.7701499999999999
Short Int Current Month,933058.0
Short Int Prev Month,944437.0
Short Int Pct of Float,0.0508023
Days to Cover,8.11475
Float,18.35722
Shares Outstanding,23.06237
Institutions Holding Shares,97.0
FCF Growth 5yr,0.158461749626874
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),-2.4414
Net Profit Margin (TTM),-2.8043
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.7428
EPS Growth (TTM),0.1313
Revenue Growth (MRQ),0.0697
Revenue Growth (TTM),0.5344
Return On Equity (TTM),-0.43090000000000006
Return On Assets (TTM),-0.1979
Return On Investment (TTM),
Revenue Per Employee (TTM),186796.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
ford,rating-box
cfra,
newConstructs,rating-box
theStreet,rating-box
researchTeam,rating-box
marketEdge opinion,
ford since,2022-11-11 00:00:00
cfra since,
newConstructs since,
theStreet since,
researchTeam since,
marketEdge opinion since,
