,BKE
% Below High,0.1457
% Held by Institutions,0.527
52-Wk Range,['26.50 - 51.55']
Annual Dividend $,1.4
Annual Dividend %,0.0318
Ask,49.11
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.0
Bid,41.6
Bid Size,100.0
Closing Price,44.04
Day Change $,0.87
Day Change %,0.0202
Day High,44.12
Day Low,43.19
Dividend Pay Date,2022-10-28 00:00:00
"EPS (TTM, GAAP)",5.06
Ex-dividend,2022-10-13 00:00:00
Ex-dividend Date,10/13/22
Historical Volatility,0.523
Last (size),2.0
Last (time),5:00p ET 11/25/22
Market Cap,2.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",8.7
Prev Close,43.17
Short Interest,0.0967
Today's Open,43.25
Volume,201134.0
Volume 10-day Avg,435513.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-10 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,1.4236453201970445
Growth 1yr High Est,1.4396135265700485
Growth 1yr Consensus Est,1.4316294233835465
Growth 2yr Low Est,0.6894649365212865
Growth 2yr High Est,0.7346582484335391
Growth 2yr Consensus Est,0.7120615924774127
Growth 5yr Low Est,0.34473246826064324
Growth 5yr High Est,0.36732912421676955
Growth 5yr Consensus Est,0.35603079623870637
Growth 5yr Actual/Est,0.2854696274418803
Growth 3yr Historic,0.29571006956643947
Price/Earnings (TTM),8.70394
Price/Sales (TTM),1.66581
Price/Book (MRQ),5.0643
Price/Cash Flow (TTM),10.85914
5yr Low,11.76
5yr High,57.1
5yr Avg Return,0.14338333333333333
EPS Growth 5yr,0.2051116
Revenue Growth 5yr,0.0583711
Dividend Growth 5yr,0.0522476
Short Int Current Month,2895433.0
Short Int Prev Month,2879016.0
Short Int Pct of Float,0.0967365
Days to Cover,8.23158
Float,30.15168
Shares Outstanding,50.09187
Institutions Holding Shares,308.0
FCF Growth 5yr,1.1673430532663134
"Price/Earnings (TTM, GAAP)",8.7
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5024000000000001
Operating Profit Margin (TTM),0.2475
Net Profit Margin (TTM),0.1893
Annual Dividend Yield,0.0318
Dividend Change %,3.3000000000000003
"Dividend Growth Rate, 3 Years",0.0886
EPS Growth (MRQ),0.2225
EPS Growth (TTM),0.054900000000000004
Revenue Growth (MRQ),0.10060000000000001
Revenue Growth (TTM),0.0745
Return On Equity (TTM),0.5215
Return On Assets (TTM),0.267
Return On Investment (TTM),0.35850000000000004
Revenue Per Employee (TTM),472968.0
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),1.47
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-09-23 00:00:00
ford since,2022-09-23 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2020-09-14 00:00:00
