,2017,2018,2019,2020,2021,2022,Q4 2022,Q1 2023,Q2 2023,Q3 2023,Report,Q3 2022
high,25.0,29.65,28.52,33.5,57.1,44.2,,,,,,
low,21.0,17.51,14.81,11.76,28.42,26.5,,,,,,
change,0.0894,-0.1908,0.4105,0.0739,0.43420000000000003,0.0431,,,,,,
Date,,,,,,,2022-01-29 00:00:00,2022-04-30 00:00:00,2022-07-30 00:00:00,2022-10-29 00:00:00,Balance Sheet,
Cash & Equivalents,,,,,,,254.0,250.0,267.0,302.0,Balance Sheet,
Short Term Investments,,,,,,,13.0,13.0,17.0,23.0,Balance Sheet,
Cash and Short Term Invs,,,,,,,267.0,263.0,284.0,325.0,Balance Sheet,
"Total Receivables, Net",,,,,,,12.0,4.0,13.0,16.0,Balance Sheet,
Total Inventory,,,,,,,102.0,121.0,128.0,152.0,Balance Sheet,
Prepaid Expenses,,,,,,,10.0,20.0,9.0,12.0,Balance Sheet,
Total Current Assets,,,,,,,391.0,408.0,435.0,506.0,Balance Sheet,
Prop./Plant/Equip. - Gross,,,,,,,453.0,457.0,460.0,466.0,Balance Sheet,
Accumulated Depreciation,,,,,,,-353.0,-354.0,-354.0,-356.0,Balance Sheet,
Prop./Plant/Equip. - Net,,,,,,,359.0,349.0,341.0,346.0,Balance Sheet,
Long Term Investments,,,,,,,19.0,20.0,21.0,20.0,Balance Sheet,
Other Long Term Assets,,,,,,,11.0,12.0,12.0,13.0,Balance Sheet,
Total Assets,,,,,,,781.0,789.0,809.0,884.0,Balance Sheet,
Accounts Payable,,,,,,,60.0,61.0,63.0,74.0,Balance Sheet,
Accrued Expenses,,,,,,,171.0,135.0,141.0,154.0,Balance Sheet,
Notes Payable/ST Debt,,,,,,,0.0,0.0,0.0,,Balance Sheet,
Income Taxes Payable,,,,,,,2.0,14.0,0.0,0.0,Balance Sheet,
Other Current Liabilities,,,,,,,16.0,14.0,12.0,12.0,Balance Sheet,
"Other Curr. Lblts, Total",,,,,,,18.0,27.0,12.0,12.0,Balance Sheet,
Total Current Liabilities,,,,,,,249.0,224.0,216.0,240.0,Balance Sheet,
Total Long Term Debt,,,,,,,0.0,0.0,0.0,,Balance Sheet,
Total Debt,,,,,,,0.0,0.0,0.0,,Balance Sheet,
Pension Benefits - Underfunded,,,,,,,19.0,20.0,20.0,20.0,Balance Sheet,
Other LT Liabilities,,,,,,,200.0,192.0,184.0,189.0,Balance Sheet,
"Other Liabilities, Total",,,,,,,219.0,212.0,204.0,208.0,Balance Sheet,
Total Liabilities,,,,,,,468.0,435.0,420.0,449.0,Balance Sheet,
Common Stock,,,,,,,0.0,1.0,1.0,1.0,Balance Sheet,
Additional Paid-In Capital,,,,,,,167.0,170.0,173.0,176.0,Balance Sheet,
