,BKE,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",8.7,19.03,Valuation,0.45717288491854957
Price/Sales (TTM),1.67,1.93,Valuation,0.8652849740932642
Price/Book (MRQ),5.06,92.12,Valuation,0.05492835432045158
"PEG Ratio (TTM, GAAP)",,7.27,Valuation,
Gross Profit Margin (TTM),0.5024000000000001,0.34390000000000004,Profitability,1.460889793544635
Operating Profit Margin (TTM),0.2475,0.11789999999999999,Profitability,2.099236641221374
Net Profit Margin (TTM),0.1893,0.0818,Profitability,2.3141809290953543
Annual Dividend Yield,0.0318,0.016200000000000003,Dividend,1.9629629629629628
Dividend Change %,3.3000000000000003,0.2582,Dividend,12.780790085205268
"Dividend Growth Rate, 3 Years",0.0886,0.09390000000000001,Dividend,0.9435569755058572
EPS Growth (MRQ),0.2225,-0.10800000000000001,Gowth rates,-2.060185185185185
EPS Growth (TTM),0.054900000000000004,0.0262,Gowth rates,2.095419847328244
Revenue Growth (MRQ),0.10060000000000001,0.0478,Gowth rates,2.1046025104602513
Revenue Growth (TTM),0.0745,0.0874,Gowth rates,0.8524027459954232
Return On Equity (TTM),0.5215,5.2054,Effectiveness,0.10018442386752219
Return On Assets (TTM),0.267,0.1562,Effectiveness,1.709346991037132
Return On Investment (TTM),0.35850000000000004,0.26,Effectiveness,1.378846153846154
Revenue Per Employee (TTM),472968.0,410011.0,Effectiveness,1.1535495389148096
Total Debt/Total Capital (MRQ),,0.8926999999999999,Financial strength,
Change in Debt/Total Capital Quarter over Quarter,,0.0016,Financial strength,
Quick Ratio (MRQ),1.47,0.39,Financial strength,3.769230769230769
Interest Coverage (MRQ),,13.36,Financial strength,
