,FITB
% Above Low,0.17980000000000002
% Held by Institutions,0.8054000000000001
52-Wk Range,['30.92 - 50.64']
Annual Dividend $,1.32
Annual Dividend %,0.0362
Ask,36.5
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.2
Bid,36.31
Bid Size,100.0
Closing Price,36.48
Day Change $,0.15
Day Change %,0.0040999999999999995
Day High,36.67
Day Low,36.38
Dividend Pay Date,2022-10-17 00:00:00
"EPS (TTM, GAAP)",3.25
Ex-dividend,2022-09-29 00:00:00
Ex-dividend Date,09/29/22
Historical Volatility,0.36600000000000005
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,25.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",11.23
Prev Close,36.33
Short Interest,0.014199999999999999
Today's Open,36.54
Volume,1016427.0
Volume 10-day Avg,4091865.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-19 00:00:00
Growth Analysts,20.0
Growth 1yr Low Est,-0.09510869565217395
Growth 1yr High Est,-0.08923884514435687
Growth 1yr Consensus Est,-0.09217377039826541
Growth 2yr Low Est,-0.04455134482308393
Growth 2yr High Est,0.06056789731254775
Growth 2yr Consensus Est,0.00800827624473191
Growth 5yr Low Est,0.05865957938701924
Growth 5yr High Est,0.11567127259993587
Growth 5yr Consensus Est,0.08716542599347755
Growth 5yr Actual/Est,0.19431179506801904
Growth 3yr Historic,0.17413118685379564
Price/Earnings (TTM),11.22576
Price/Sales (TTM),3.10975
Price/Book (MRQ),1.71257
Price/Cash Flow (TTM),8.51692
5yr Low,11.1
5yr High,50.64
5yr Avg Return,0.07243333333333335
EPS Growth 5yr,0.1442705
Revenue Growth 5yr,0.044429800000000005
Dividend Growth 5yr,0.1155067
Short Int Current Month,9721152.0
Short Int Prev Month,11778950.0
Short Int Pct of Float,0.0142348
Days to Cover,1.96249
Float,683.0684
Shares Outstanding,686.3962
Institutions Holding Shares,1100.0
FCF Growth 5yr,0.3280592371028695
"Price/Earnings (TTM, GAAP)",11.23
"PEG Ratio (TTM, GAAP)",2.23
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.3737
Net Profit Margin (TTM),0.29460000000000003
Annual Dividend Yield,0.0362
Dividend Change %,0.0556
"Dividend Growth Rate, 3 Years",0.1549
EPS Growth (MRQ),0.2023
EPS Growth (TTM),-0.10160000000000001
Revenue Growth (MRQ),0.2022
Revenue Growth (TTM),0.1101
Return On Equity (TTM),0.1291
Return On Assets (TTM),0.0115
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,0.0002
Quick Ratio (MRQ),
Interest Coverage (MRQ),
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2021-03-10 00:00:00
researchTeam since,2022-08-20 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-10-20 00:00:00
ford since,2022-05-13 00:00:00
marketEdge opinion since,
