,MAXR
% Above Low,0.3592
% Held by Institutions,0.7717
52-Wk Range,['17.51 - 40.48']
Annual Dividend $,0.04
Annual Dividend %,0.0017000000000000001
Ask,23.8
Ask Size,1000.0
B/A Ratio,0.1
B/A Size,100x1000
Beta,1.4
Bid,20.11
Bid Size,100.0
Change Since Close,-0.65| |(-2.73%)
Closing Price,23.8
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-30 00:00:00
"EPS (TTM, GAAP)",0.54
Ex-dividend,2022-12-14 00:00:00
Ex-dividend Date,12/14/22
Historical Volatility,0.6070000000000001
Last (size),4.0
Last (time),5:00p ET 11/25/22
Last Trade,23.15
Market Cap,1.8B
"P/E Ratio (TTM, GAAP)",44.01
Prev Close,23.8
Short Interest,0.046900000000000004
Today's Open,
Volume,11.0
Volume 10-day Avg,765398.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-1.5074626865671643
Growth 2yr High Est,8.999999999999998
Growth 2yr Consensus Est,3.746268656716417
Growth 5yr Low Est,-1.5074626865671643
Growth 5yr High Est,8.999999999999998
Growth 5yr Consensus Est,3.746268656716417
Growth 5yr Actual/Est,-2.541602886724838
Growth 3yr Historic,-0.41410256410256413
Price/Earnings (TTM),44.01132
Price/Sales (TTM),1.0114
Price/Book (MRQ),1.22127
Price/Cash Flow (TTM),5.42307
5yr Low,3.83
5yr High,67.3
5yr Avg Return,0.09003333333333337
EPS Growth 5yr,-0.1953501
Revenue Growth 5yr,0.0258436
Dividend Growth 5yr,-0.48480110000000004
Short Int Current Month,3369838.0
Short Int Prev Month,3498144.0
Short Int Pct of Float,0.046936799999999994
Days to Cover,5.56651
Float,71.93014
Shares Outstanding,74.28233
Institutions Holding Shares,288.0
FCF Growth 5yr,1.1767547077525067
"Price/Earnings (TTM, GAAP)",44.01
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.4697
Operating Profit Margin (TTM),0.0755
Net Profit Margin (TTM),0.0275
Annual Dividend Yield,0.0017000000000000001
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",-0.6672
EPS Growth (MRQ),-3.2394
EPS Growth (TTM),3.4422
Revenue Growth (MRQ),0.0815
Revenue Growth (TTM),-0.0113
Return On Equity (TTM),0.035
Return On Assets (TTM),0.010700000000000001
Return On Investment (TTM),0.0123
Revenue Per Employee (TTM),397273.0
Total Debt/Total Capital (MRQ),0.6054
Change in Debt/Total Capital Quarter over Quarter,0.0003
Quick Ratio (MRQ),0.93
Interest Coverage (MRQ),1.96
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-08-19 00:00:00
theStreet since,2022-03-23 00:00:00
cfra since,
ford since,2022-10-28 00:00:00
marketEdge opinion since,
