,SLM
% Above Low,0.2208
% Held by Institutions,0.9968
52-Wk Range,['13.72 - 20.88']
Annual Dividend $,0.44
Annual Dividend %,0.025699999999999997
Ask,16.75
Ask Size,1300.0
B/A Ratio,1.2307692307692308
B/A Size,1600x1300
Beta,1.2
Bid,16.74
Bid Size,1600.0
Day Change $,-0.34
Day Change %,-0.0199
Day High,16.88
Day Low,16.7
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",3.07
Ex-dividend,2022-12-01 00:00:00
Ex-dividend Date,12/01/22
Historical Volatility,0.423
Last (size),100.0
Last (time),2:36p ET 11/28/22
Market Cap,4.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",5.56
Prev Close,17.09
Price,16.75
Short Interest,0.0208
Today's Open,16.8
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-25 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,-0.22580645161290325
Growth 1yr High Est,-0.2936288088642659
Growth 1yr Consensus Est,-0.2597176302385846
Growth 2yr Low Est,-0.2129032258064516
Growth 2yr High Est,-0.009559502471348569
Growth 2yr Consensus Est,-0.11123136413890009
Growth 5yr Low Est,0.27362968790978237
Growth 5yr High Est,0.473042829409487
Growth 5yr Consensus Est,0.37333625865963466
Growth 5yr Actual/Est,0.2823484572605538
Growth 3yr Historic,0.35041135553123126
Price/Earnings (TTM),5.56241
Price/Sales (TTM),2.135
Price/Book (MRQ),2.46998
Price/Cash Flow (TTM),4.92329
5yr Low,5.6
5yr High,21.4
5yr Avg Return,0.11315
EPS Growth 5yr,0.4683737
Revenue Growth 5yr,0.10526619999999999
Dividend Growth 5yr,
Short Int Current Month,5161474.0
Short Int Prev Month,5779240.0
Short Int Pct of Float,0.0207986
Days to Cover,4.0791
Float,248.3398
Shares Outstanding,250.1968
Institutions Holding Shares,412.0
FCF Growth 5yr,
"Price/Earnings (TTM, GAAP)",5.56
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.5678
Net Profit Margin (TTM),0.42560000000000003
Annual Dividend Yield,0.0257
Dividend Change %,0.6667000000000001
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.7778
EPS Growth (TTM),-0.1354
Revenue Growth (MRQ),0.12279999999999999
Revenue Growth (TTM),0.060300000000000006
Return On Equity (TTM),0.4683
Return On Assets (TTM),0.0294
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,0.0001
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-08-20 00:00:00
theStreet since,2020-10-22 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-04-29 00:00:00
cfra since,
marketEdge opinion since,
