,SLM,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",5.56,8.59,Valuation,0.6472642607683352
Price/Sales (TTM),2.14,1.88,Valuation,1.1382978723404256
Price/Book (MRQ),2.47,3.02,Valuation,0.8178807947019868
"PEG Ratio (TTM, GAAP)",,1.78,Valuation,
Gross Profit Margin (TTM),,0.38079999999999997,Profitability,
Operating Profit Margin (TTM),0.5678,0.2543,Profitability,2.2327959103421153
Net Profit Margin (TTM),0.42560000000000003,0.19039999999999999,Profitability,2.2352941176470593
Annual Dividend Yield,0.0257,0.0187,Dividend,1.374331550802139
Dividend Change %,0.6667000000000001,0.242,Dividend,2.7549586776859507
"Dividend Growth Rate, 3 Years",,0.0575,Dividend,
EPS Growth (MRQ),-0.7778,-0.1573,Gowth rates,4.944691671964399
EPS Growth (TTM),-0.1354,-0.04820000000000001,Gowth rates,2.8091286307053935
Revenue Growth (MRQ),0.12279999999999999,0.2511,Gowth rates,0.48904818797291916
Revenue Growth (TTM),0.060300000000000006,0.21670000000000003,Gowth rates,0.27826488232579605
Return On Equity (TTM),0.4683,0.2596,Effectiveness,1.8039291217257318
Return On Assets (TTM),0.0294,0.0326,Effectiveness,0.901840490797546
Return On Investment (TTM),,0.0432,Effectiveness,
Revenue Per Employee (TTM),,448656.0,Effectiveness,
Total Debt/Total Capital (MRQ),,0.4919,Financial strength,
Change in Debt/Total Capital Quarter over Quarter,0.0001,0.0012,Financial strength,0.08333333333333334
Quick Ratio (MRQ),,0.05,Financial strength,
Interest Coverage (MRQ),,16.82,Financial strength,
