,SPWR,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",41.31,35.65,Valuation,1.158765778401122
Price/Sales (TTM),2.58,12.92,Valuation,0.1996904024767802
Price/Book (MRQ),7.54,9.0,Valuation,0.8377777777777777
"PEG Ratio (TTM, GAAP)",,0.29,Valuation,
Gross Profit Margin (TTM),0.1906,0.2968,Profitability,0.6421832884097035
Operating Profit Margin (TTM),-0.028900000000000002,-0.5081,Profitability,0.056878567211178906
Net Profit Margin (TTM),0.0721,-0.706,Profitability,-0.10212464589235128
Annual Dividend Yield,,0.0123,Dividend,
Dividend Change %,,0.0305,Dividend,
"Dividend Growth Rate, 3 Years",,0.0396,Dividend,
EPS Growth (MRQ),3.9644,0.5871000000000001,Gowth rates,6.752512348833247
EPS Growth (TTM),-0.701,-1.2397,Gowth rates,0.5654593853351617
Revenue Growth (MRQ),0.1387,0.28940000000000005,Gowth rates,0.4792674498963371
Revenue Growth (TTM),0.4461,0.22710000000000002,Gowth rates,1.9643328929986787
Return On Equity (TTM),0.2488,0.10210000000000001,Effectiveness,2.4368266405484817
Return On Assets (TTM),0.0747,0.0479,Effectiveness,1.559498956158664
Return On Investment (TTM),0.1283,0.0575,Effectiveness,2.2313043478260868
Revenue Per Employee (TTM),444889.0,348568.0,Effectiveness,1.276333455738909
Total Debt/Total Capital (MRQ),0.4723,0.3799,Financial strength,1.2432219005001315
Change in Debt/Total Capital Quarter over Quarter,-0.0021,0.0017000000000000001,Financial strength,-1.2352941176470587
Quick Ratio (MRQ),1.06,1.37,Financial strength,0.7737226277372262
Interest Coverage (MRQ),2.83,9.61,Financial strength,0.2944849115504683
