,SPWR
% Below High,0.2164
% Held by Institutions,0.8817
52-Wk Range,['12.78 - 29.92']
Annual Dividend $,
Annual Dividend %,
Ask,23.45
Ask Size,400.0
B/A Ratio,0.75
B/A Size,300x400
Beta,1.8
Bid,23.44
Bid Size,300.0
Day Change $,-0.685
Day Change %,-0.028399999999999998
Day High,24.06
Day Low,23.2
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.58
Ex-dividend Date,No dividend
Historical Volatility,0.777
Last (size),100.0
Last (time),3:08p ET 11/28/22
Market Cap,4.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",41.31
Prev Close,24.13
Price,23.45
Short Interest,0.145
Today's Open,23.68
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,-1.5084745762711864
Growth 1yr High Est,-4.363636363636363
Growth 1yr Consensus Est,-2.936055469953775
Growth 2yr Low Est,-0.7042372881355932
Growth 2yr High Est,-0.9520884520884518
Growth 2yr Consensus Est,-0.8281628701120225
Growth 5yr Low Est,-0.3521186440677966
Growth 5yr High Est,-0.4760442260442259
Growth 5yr Consensus Est,-0.4140814350560113
Growth 5yr Actual/Est,-0.5918347942625325
Growth 3yr Historic,-1.0467980295566501
Price/Earnings (TTM),41.30859
Price/Sales (TTM),2.58125
Price/Book (MRQ),7.53618
Price/Cash Flow (TTM),28.63876
5yr Low,4.03
5yr High,57.52
5yr Avg Return,0.3843666666666667
EPS Growth 5yr,
Revenue Growth 5yr,-0.1231072
Dividend Growth 5yr,
Short Int Current Month,12310413.0
Short Int Prev Month,12547872.0
Short Int Pct of Float,0.1449772
Days to Cover,2.16924
Float,172.8641
Shares Outstanding,174.1825
Institutions Holding Shares,403.0
FCF Growth 5yr,0.612384059941388
"Price/Earnings (TTM, GAAP)",41.31
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.1906
Operating Profit Margin (TTM),-0.028900000000000002
Net Profit Margin (TTM),0.0721
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),3.9644
EPS Growth (TTM),-0.701
Revenue Growth (MRQ),0.1387
Revenue Growth (TTM),0.4461
Return On Equity (TTM),0.2488
Return On Assets (TTM),0.0747
Return On Investment (TTM),0.1283
Revenue Per Employee (TTM),444889.0
Total Debt/Total Capital (MRQ),0.4723
Change in Debt/Total Capital Quarter over Quarter,-0.0021
Quick Ratio (MRQ),1.06
Interest Coverage (MRQ),2.83
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-10-07 00:00:00
theStreet since,2022-08-24 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-10-07 00:00:00
ford since,2022-10-07 00:00:00
marketEdge opinion since,
