,EVER
% Above Low,1.1415000000000002
% Held by Institutions,0.625
52-Wk Range,['5.23 - 17.59']
Annual Dividend $,
Annual Dividend %,
Ask,11.5
Ask Size,300.0
B/A Ratio,1.0
B/A Size,300x300
Beta,1.4
Bid,11.15
Bid Size,300.0
Closing Price,11.2
Day Change $,0.06
Day Change %,0.0054
Day High,11.33
Day Low,10.99
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.79
Ex-dividend Date,No dividend
Historical Volatility,0.72
Last (size),108.0
Last (time),1:00p ET 11/25/22
Market Cap,360.1M
"P/E Ratio (TTM, GAAP)",
Prev Close,11.14
Short Interest,0.06509999999999999
Today's Open,10.99
Volume,182525.0
Volume 10-day Avg,257251.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,0.0641025641025641
Growth 1yr High Est,0.12307692307692308
Growth 1yr Consensus Est,0.09358974358974359
Growth 2yr Low Est,0.12843682421995672
Growth 2yr High Est,0.020442571127502696
Growth 2yr Consensus Est,0.07443969767372971
Growth 5yr Low Est,0.33006899392441563
Growth 5yr High Est,0.25047048601482635
Growth 5yr Consensus Est,0.29026973996962097
Growth 5yr Actual/Est,0.3252681746720698
Growth 3yr Historic,0.2746080139372822
Price/Earnings (TTM),
Price/Sales (TTM),0.86181
Price/Book (MRQ),3.35819
Price/Cash Flow (TTM),
5yr Low,4.05
5yr High,63.44
5yr Avg Return,1.13328
EPS Growth 5yr,
Revenue Growth 5yr,0.2779625
Dividend Growth 5yr,
Short Int Current Month,1155388.0
Short Int Prev Month,1072671.0
Short Int Pct of Float,0.0650873
Days to Cover,3.31703
Float,17.84851
Shares Outstanding,32.1553
Institutions Holding Shares,148.0
FCF Growth 5yr,-0.15670897426083616
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.9423
Operating Profit Margin (TTM),-0.0588
Net Profit Margin (TTM),-0.0584
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.6912
EPS Growth (TTM),-0.5448
Revenue Growth (MRQ),0.0128
Revenue Growth (TTM),0.01
Return On Equity (TTM),-0.2525
Return On Assets (TTM),-0.1562
Return On Investment (TTM),-0.2318
Revenue Per Employee (TTM),622781.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
theStreet,rating-box
cfra,
newConstructs,rating-box
ford,rating-box
researchTeam,rating-box
marketEdge opinion,
theStreet since,2019-08-08 00:00:00
cfra since,
newConstructs since,
ford since,
researchTeam since,
marketEdge opinion since,
