,EVER,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,18.12,Valuation,
Price/Sales (TTM),0.86,4.52,Valuation,0.19026548672566373
Price/Book (MRQ),3.36,5.02,Valuation,0.6693227091633467
"PEG Ratio (TTM, GAAP)",,8.0,Valuation,
Gross Profit Margin (TTM),0.9423,0.6097,Profitability,1.545514187305232
Operating Profit Margin (TTM),-0.0588,0.24480000000000002,Profitability,-0.24019607843137253
Net Profit Margin (TTM),-0.0584,0.1981,Profitability,-0.2948006057546694
Annual Dividend Yield,,0.0001,Dividend,
Dividend Change %,,0.0003,Dividend,
"Dividend Growth Rate, 3 Years",,,Dividend,
EPS Growth (MRQ),-0.6912,-0.2712,Gowth rates,2.5486725663716814
EPS Growth (TTM),-0.5448,-0.0227,Gowth rates,23.999999999999996
Revenue Growth (MRQ),0.0128,0.7634000000000001,Gowth rates,0.016767094576892846
Revenue Growth (TTM),0.01,1.7572999999999999,Gowth rates,0.005690547999772378
Return On Equity (TTM),-0.2525,0.2407,Effectiveness,-1.049023680930619
Return On Assets (TTM),-0.1562,0.16899999999999998,Effectiveness,-0.9242603550295859
Return On Investment (TTM),-0.2318,0.20510000000000003,Effectiveness,-1.130180399804973
Revenue Per Employee (TTM),622781.0,1707732.0,Effectiveness,0.3646831001585729
Total Debt/Total Capital (MRQ),0.0,0.0821,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.028999999999999998,Financial strength,
Quick Ratio (MRQ),,1.88,Financial strength,
Interest Coverage (MRQ),,29.8,Financial strength,
