,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,22.09,38.43,63.44,54.96,17.59,,,,,
low,4.05,4.13,21.0,11.73,5.23,,,,,
change,-0.797,7.2572,0.0776,-0.5834,-0.28800000000000003,,,,,
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,,34851.0,46128.0,41269.0,36591.0,Balance Sheet
"Total Receivables, Net",,,,,,35659.0,46557.0,36581.0,40424.0,Balance Sheet
Prepaid Expenses,,,,,,14184.0,14319.0,14428.0,15469.0,Balance Sheet
Total Current Assets,,,,,,84694.0,107004.0,92278.0,92484.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,13087.0,12955.0,13019.0,12708.0,Balance Sheet
"Goodwill, Net",,,,,,21501.0,21501.0,21501.0,21501.0,Balance Sheet
Intangibles - Gross,,,,,,12470.0,12470.0,12470.0,12470.0,Balance Sheet
Accum. Intangible Amort.,,,,,,-2241.0,-2809.0,-3377.0,-3944.0,Balance Sheet
Intangibles - Net,,,,,,10229.0,9661.0,9093.0,8526.0,Balance Sheet
Other Long Term Assets,,,,,,14096.0,19407.0,25098.0,28609.0,Balance Sheet
Total Assets,,,,,,143607.0,170528.0,160989.0,163828.0,Balance Sheet
Accounts Payable,,,,,,29599.0,43104.0,32937.0,37139.0,Balance Sheet
Accrued Expenses,,,,,,12480.0,9221.0,10673.0,8862.0,Balance Sheet
Notes Payable/ST Debt,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Customer Advances,,,,,,2096.0,1984.0,1974.0,1890.0,Balance Sheet
Other Current Liabilities,,,,,,3231.0,3877.0,3279.0,4044.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,5327.0,5861.0,5253.0,5934.0,Balance Sheet
Total Current Liabilities,,,,,,47406.0,58186.0,48863.0,51935.0,Balance Sheet
Total Long Term Debt,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Debt,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
"Other Liabilities, Total",,,,,,11076.0,9900.0,5874.0,4651.0,Balance Sheet
Total Liabilities,,,,,,58482.0,68086.0,54737.0,56586.0,Balance Sheet
Redeemable Preferred Stock,,,,,,,,,0.0,Balance Sheet
Common Stock,,,,,,30.0,31.0,32.0,32.0,Balance Sheet
Additional Paid-In Capital,,,,,,222730.0,245751.0,253345.0,260818.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,-137645.0,-143360.0,-147116.0,-153567.0,Balance Sheet
"Other Equity, Total",,,,,,10.0,20.0,-9.0,-41.0,Balance Sheet
Total Equity,,,,,,85125.0,102442.0,106252.0,107242.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,,143607.0,170528.0,160989.0,163828.0,Balance Sheet
Shr Outs.-Com. Primary Iss.,,,,,,23545.0,24950.0,25536.0,25986.0,Balance Sheet
Shr Outs.-Com. Stk. Iss. 2,,,,,,6408.0,6408.0,6170.0,6170.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,,29953.0,31358.0,31706.0,32155.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Trsy. Shrs-Comm. Iss. 2,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
