,AMBA
% Above Low,0.4761
% Held by Institutions,0.8054000000000001
52-Wk Range,['49.02 - 227.59']
Annual Dividend $,
Annual Dividend %,
Ask,72.88
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.5
Bid,71.86
Bid Size,100.0
Closing Price,72.36
Day Change $,0.19
Day Change %,0.0026
Day High,73.06
Day Low,71.24
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.13
Ex-dividend Date,No dividend
Historical Volatility,0.84
Last (size),2.0
Last (time),12:59p ET 11/25/22
Market Cap,2.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,72.17
Short Interest,0.0236
Today's Open,71.39
Volume,158458.0
Volume 10-day Avg,642345.0
Volume Past Day,(Light)
Next Earnings Announcement,2022-12-01 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,-0.3377483443708609
Growth 1yr High Est,-0.2875000000000001
Growth 1yr Consensus Est,-0.3126241721854305
Growth 2yr Low Est,-0.29387417218543044
Growth 2yr High Est,0.430811403508772
Growth 2yr Consensus Est,0.06846861566167078
Growth 5yr Low Est,0.20226926311363397
Growth 5yr High Est,0.5368342731829575
Growth 5yr Consensus Est,0.36955176814829577
Growth 5yr Actual/Est,0.8458395924556713
Growth 3yr Historic,0.8392621870882742
Price/Earnings (TTM),
Price/Sales (TTM),7.86186
Price/Book (MRQ),4.80719
Price/Cash Flow (TTM),
5yr Low,30.0
5yr High,227.59
5yr Avg Return,0.2377666666666666
EPS Growth 5yr,
Revenue Growth 5yr,0.0135249
Dividend Growth 5yr,
Short Int Current Month,856654.0
Short Int Prev Month,1027327.0
Short Int Pct of Float,0.023629699999999997
Days to Cover,1.81641
Float,36.25323
Shares Outstanding,38.41676
Institutions Holding Shares,343.0
FCF Growth 5yr,0.4276894262935125
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),3.13
Interest Coverage (MRQ),
Gross Profit Margin (TTM),0.6294
Operating Profit Margin (TTM),-0.1251
Net Profit Margin (TTM),-0.12140000000000001
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-1.1544
EPS Growth (TTM),0.155
Revenue Growth (MRQ),-0.1043
Revenue Growth (TTM),0.3209
Return On Equity (TTM),-0.07940000000000001
Return On Assets (TTM),-0.0668
Return On Investment (TTM),-0.0765
Revenue Per Employee (TTM),393309.0
newConstructs,rating-box
researchTeam,rating-box
cfra,
ford,rating-box
marketEdge opinion,
marketEdge,rating-box
newConstructs since,2022-11-26 00:00:00
researchTeam since,2022-10-19 00:00:00
cfra since,2022-08-29 00:00:00
ford since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2022-10-19 00:00:00
