,AMBA,Industry,Type,Ratio to Industry
Total Debt/Total Capital (MRQ),0.0,0.3576,Valuation,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0,Valuation,
Quick Ratio (MRQ),3.13,2.24,Valuation,1.3973214285714284
Interest Coverage (MRQ),,15.8,Valuation,
Gross Profit Margin (TTM),0.6294,0.5489,Profitability,1.1466569502641646
Operating Profit Margin (TTM),-0.1251,0.25739999999999996,Profitability,-0.48601398601398604
Net Profit Margin (TTM),-0.12140000000000001,0.2224,Profitability,-0.545863309352518
Annual Dividend Yield,,0.014499999999999999,Dividend,
Dividend Change %,,0.0676,Dividend,
"Dividend Growth Rate, 3 Years",,0.091,Dividend,
EPS Growth (MRQ),-1.1544,1.5356,Gowth rates,-0.7517582703829122
EPS Growth (TTM),0.155,0.2274,Gowth rates,0.681618293755497
Revenue Growth (MRQ),-0.1043,0.1335,Gowth rates,-0.7812734082397004
Revenue Growth (TTM),0.3209,0.24170000000000003,Gowth rates,1.3276789408357468
Return On Equity (TTM),-0.07940000000000001,0.36920000000000003,Effectiveness,-0.21505958829902494
Return On Assets (TTM),-0.0668,0.16010000000000002,Effectiveness,-0.4172392254840724
Return On Investment (TTM),-0.0765,0.1925,Effectiveness,-0.39740259740259737
Revenue Per Employee (TTM),393309.0,898550.0,Effectiveness,0.437715207834845
Total Debt/Total Capital (MRQ),0.0,0.3576,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0,Financial strength,
Quick Ratio (MRQ),3.13,2.24,Financial strength,1.3973214285714284
Interest Coverage (MRQ),,15.8,Financial strength,
