,TWOU
% Above Low,0.6106
% Held by Institutions,0.9048
52-Wk Range,['4.70 - 25.01']
Annual Dividend $,
Annual Dividend %,
Ask,8.23
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.0
Bid,7.26
Bid Size,100.0
Closing Price,7.57
Day Change $,-0.34
Day Change %,-0.043
Day High,8.03
Day Low,7.48
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-4.92
Ex-dividend Date,No dividend
Historical Volatility,1.161
Last (size),1.0
Last (time),3:59p ET 11/28/22
Market Cap,591.6M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,7.91
Short Interest,0.0984
Today's Open,7.76
Volume,642849.0
Volume 10-day Avg,1071359.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-08 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,-0.7017543859649122
Growth 1yr High Est,-1.0555555555555556
Growth 1yr Consensus Est,-0.8786549707602339
Growth 2yr Low Est,-0.086171310629515
Growth 2yr High Est,8.37222222222222
Growth 2yr Consensus Est,4.143025455796352
Growth 5yr Low Est,-0.0738548860839883
Growth 5yr High Est,4.1267890772128055
Growth 5yr Consensus Est,2.0264670955644086
Growth 5yr Actual/Est,-0.8630296446823509
Growth 3yr Historic,-0.1277865891267953
Price/Earnings (TTM),
Price/Sales (TTM),0.6373
Price/Book (MRQ),1.24668
Price/Cash Flow (TTM),
5yr Low,4.7
5yr High,98.58
5yr Avg Return,-0.20935000000000004
EPS Growth 5yr,
Revenue Growth 5yr,0.35654110000000006
Dividend Growth 5yr,
Short Int Current Month,7421222.0
Short Int Prev Month,7142863.0
Short Int Pct of Float,0.0983954
Days to Cover,3.65766
Float,75.42463
Shares Outstanding,78.20489
Institutions Holding Shares,263.0
FCF Growth 5yr,1.083133971291866
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5163
Operating Profit Margin (TTM),-0.32280000000000003
Net Profit Margin (TTM),-0.389
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.9201
EPS Growth (TTM),-1.179
Revenue Growth (MRQ),-0.0382
Revenue Growth (TTM),0.0581
Return On Equity (TTM),-0.5498
Return On Assets (TTM),-0.1915
Return On Investment (TTM),-0.23170000000000002
Revenue Per Employee (TTM),243761.0
Total Debt/Total Capital (MRQ),0.6527
Change in Debt/Total Capital Quarter over Quarter,0.0033000000000000004
Quick Ratio (MRQ),
Interest Coverage (MRQ),-0.82
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2019-04-22 00:00:00
theStreet since,2019-05-22 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-08-05 00:00:00
cfra since,
marketEdge opinion since,
