,TWOU,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,-674.43,Valuation,
Price/Sales (TTM),0.64,3.81,Valuation,0.1679790026246719
Price/Book (MRQ),1.25,2.94,Valuation,0.4251700680272109
"PEG Ratio (TTM, GAAP)",,-5.1,Valuation,
Gross Profit Margin (TTM),0.5163,0.30350000000000005,Profitability,1.7011532125205928
Operating Profit Margin (TTM),-0.32280000000000003,0.047,Profitability,-6.8680851063829795
Net Profit Margin (TTM),-0.389,0.024900000000000002,Profitability,-15.622489959839356
Annual Dividend Yield,,0.0049,Dividend,
Dividend Change %,,0.015500000000000002,Dividend,
"Dividend Growth Rate, 3 Years",,0.013000000000000001,Dividend,
EPS Growth (MRQ),-0.9201,-8.9082,Gowth rates,0.10328685929817472
EPS Growth (TTM),-1.179,1.3234000000000001,Gowth rates,-0.8908871089617652
Revenue Growth (MRQ),-0.0382,0.0315,Gowth rates,-1.2126984126984126
Revenue Growth (TTM),0.0581,0.1202,Gowth rates,0.4833610648918469
Return On Equity (TTM),-0.5498,0.0073,Effectiveness,-75.31506849315068
Return On Assets (TTM),-0.1915,-0.0022,Effectiveness,87.04545454545455
Return On Investment (TTM),-0.23170000000000002,0.005699999999999999,Effectiveness,-40.64912280701755
Revenue Per Employee (TTM),243761.0,227358.0,Effectiveness,1.0721461307717344
Total Debt/Total Capital (MRQ),0.6527,0.5721,Financial strength,1.1408844607586084
Change in Debt/Total Capital Quarter over Quarter,0.0033000000000000004,0.001,Financial strength,3.3000000000000003
Quick Ratio (MRQ),,0.56,Financial strength,
Interest Coverage (MRQ),-0.82,2.57,Financial strength,-0.31906614785992216
