,TTEC
% Above Low,0.16579999999999998
% Held by Institutions,0.3746
52-Wk Range,['39.50 - 95.19']
Annual Dividend $,1.04
Annual Dividend %,0.022099999999999998
Ask,46.14
Ask Size,500.0
B/A Ratio,3.2
B/A Size,1600x500
Beta,1.0
Bid,46.05
Bid Size,1600.0
Closing Price,46.05
Day Change $,-0.95
Day Change %,-0.0202
Day High,46.95
Day Low,45.9
Dividend Pay Date,2022-10-26 00:00:00
"EPS (TTM, GAAP)",2.31
Ex-dividend,2022-10-07 00:00:00
Ex-dividend Date,10/07/22
Historical Volatility,0.45799999999999996
Last (size),801.0
Last (time),3:59p ET 11/28/22
Market Cap,2.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",20.31
Prev Close,47.0
Short Interest,0.0263
Today's Open,46.51
Volume,77813.0
Volume 10-day Avg,143665.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,-0.23026315789473684
Growth 1yr High Est,-0.21881838074398263
Growth 1yr Consensus Est,-0.22454076931935973
Growth 2yr Low Est,-0.11655608037186982
Growth 2yr High Est,0.00543674800335886
Growth 2yr Consensus Est,-0.05555966618425548
Growth 5yr Low Est,0.3180955861876914
Growth 5yr High Est,0.3416358997748753
Growth 5yr Consensus Est,0.32986574298128335
Growth 5yr Actual/Est,0.2682732644020248
Growth 3yr Historic,0.3076470262334137
Price/Earnings (TTM),20.31168
Price/Sales (TTM),0.92559
Price/Book (MRQ),4.36982
Price/Cash Flow (TTM),9.62218
5yr Low,23.01
5yr High,113.37
5yr Avg Return,0.11016666666666666
EPS Growth 5yr,0.33350520000000006
Revenue Growth 5yr,0.1225421
Dividend Growth 5yr,0.1851037
Short Int Current Month,495462.0
Short Int Prev Month,483884.0
Short Int Pct of Float,0.0262644
Days to Cover,3.31357
Float,18.86441
Shares Outstanding,47.21951
Institutions Holding Shares,290.0
FCF Growth 5yr,-6.789073985932625
"Price/Earnings (TTM, GAAP)",20.31
"PEG Ratio (TTM, GAAP)",2.82
Gross Profit Margin (TTM),0.24190000000000003
Operating Profit Margin (TTM),0.0716
Net Profit Margin (TTM),0.0519
Annual Dividend Yield,0.0221
Dividend Change %,0.2162
"Dividend Growth Rate, 3 Years",0.1784
EPS Growth (MRQ),-0.11699999999999999
EPS Growth (TTM),-0.3004
Revenue Growth (MRQ),-0.0195
Revenue Growth (TTM),0.07440000000000001
Return On Equity (TTM),0.22
Return On Assets (TTM),0.0593
Return On Investment (TTM),0.0801
Revenue Per Employee (TTM),36888.0
Total Debt/Total Capital (MRQ),0.6221
Change in Debt/Total Capital Quarter over Quarter,0.0012
Quick Ratio (MRQ),
Interest Coverage (MRQ),3.95
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-08-20 00:00:00
theStreet since,2022-05-19 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-11 00:00:00
cfra since,
marketEdge opinion since,
