,TTEC,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",20.31,53.11,Valuation,0.3824138580305027
Price/Sales (TTM),0.93,19.35,Valuation,0.04806201550387597
Price/Book (MRQ),4.37,19.03,Valuation,0.22963741460851286
"PEG Ratio (TTM, GAAP)",2.82,3.41,Valuation,0.8269794721407624
Gross Profit Margin (TTM),0.24190000000000003,0.44520000000000004,Profitability,0.5433513027852651
Operating Profit Margin (TTM),0.0716,0.3027,Profitability,0.2365378262305913
Net Profit Margin (TTM),0.0519,0.23600000000000002,Profitability,0.21991525423728814
Annual Dividend Yield,0.0221,0.010400000000000001,Dividend,2.125
Dividend Change %,0.2162,0.0818,Dividend,2.643031784841076
"Dividend Growth Rate, 3 Years",0.1784,0.1223,Dividend,1.4587080948487325
EPS Growth (MRQ),-0.11699999999999999,-3.5569,Gowth rates,0.03289381202732716
EPS Growth (TTM),-0.3004,0.15560000000000002,Gowth rates,-1.9305912596401027
Revenue Growth (MRQ),-0.0195,0.16460000000000002,Gowth rates,-0.11846901579586876
Revenue Growth (TTM),0.07440000000000001,0.2273,Gowth rates,0.3273207215134184
Return On Equity (TTM),0.22,0.5459,Effectiveness,0.4030042132258655
Return On Assets (TTM),0.0593,0.1131,Effectiveness,0.524314765694076
Return On Investment (TTM),0.0801,0.18910000000000002,Effectiveness,0.42358540454785826
Revenue Per Employee (TTM),36888.0,686074.0,Effectiveness,0.053766794835542524
Total Debt/Total Capital (MRQ),0.6221,0.5613,Financial strength,1.1083199714947443
Change in Debt/Total Capital Quarter over Quarter,0.0012,0.0048,Financial strength,0.25
Quick Ratio (MRQ),,0.16,Financial strength,
Interest Coverage (MRQ),3.95,27.21,Financial strength,0.14516721793458287
