,OSPN
% Below High,0.2611
% Held by Institutions,0.8248000000000001
52-Wk Range,['8.15 - 17.79']
Annual Dividend $,
Annual Dividend %,
Ask,13.26
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.8
Bid,13.12
Bid Size,100.0
Day Change $,-0.175
Day Change %,-0.0131
Day High,13.29
Day Low,13.29
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.63
Ex-dividend Date,No dividend
Historical Volatility,0.521
Last (size),1.0
Last (time),9:42a ET 11/28/22
Market Cap,521.4M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,13.32
Price,13.15
Short Interest,0.0344
Today's Open,13.29
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.10526315789473673
Growth 2yr High Est,-0.8
Growth 2yr Consensus Est,-0.34736842105263166
Growth 5yr Low Est,0.10526315789473673
Growth 5yr High Est,-0.8
Growth 5yr Consensus Est,-0.34736842105263166
Growth 5yr Actual/Est,-1.3417541779584463
Growth 3yr Historic,-1.066550925925926
Price/Earnings (TTM),
Price/Sales (TTM),2.3847
Price/Book (MRQ),2.7103
Price/Cash Flow (TTM),
5yr Low,8.15
5yr High,33.33
5yr Avg Return,0.015599999999999987
EPS Growth 5yr,
Revenue Growth 5yr,0.0220687
Dividend Growth 5yr,
Short Int Current Month,1202492.0
Short Int Prev Month,1140433.0
Short Int Pct of Float,0.034396
Days to Cover,2.44687
Float,34.96825
Shares Outstanding,39.6621
Institutions Holding Shares,224.0
FCF Growth 5yr,-2.006647850164478
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6539
Operating Profit Margin (TTM),-0.13119999999999998
Net Profit Margin (TTM),-0.1133
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.2214
EPS Growth (TTM),-0.3579
Revenue Growth (MRQ),0.0825
Revenue Growth (TTM),0.0638
Return On Equity (TTM),-0.11800000000000001
Return On Assets (TTM),-0.0784
Return On Investment (TTM),-0.10250000000000001
Revenue Per Employee (TTM),252033.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),2.04
Interest Coverage (MRQ),0.76
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2021-06-18 00:00:00
theStreet since,2021-08-31 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-11 00:00:00
cfra since,
marketEdge opinion since,
