,OSPN,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,54.08,Valuation,
Price/Sales (TTM),2.38,9.39,Valuation,0.2534611288604899
Price/Book (MRQ),2.71,12.63,Valuation,0.2145684877276326
"PEG Ratio (TTM, GAAP)",,1.92,Valuation,
Gross Profit Margin (TTM),0.6539,0.7206,Profitability,0.9074382459061893
Operating Profit Margin (TTM),-0.13119999999999998,0.2172,Profitability,-0.6040515653775321
Net Profit Margin (TTM),-0.1133,0.1553,Profitability,-0.7295556986477785
Annual Dividend Yield,,0.006999999999999999,Dividend,
Dividend Change %,,0.07940000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0703,Dividend,
EPS Growth (MRQ),0.2214,-0.0752,Gowth rates,-2.9441489361702127
EPS Growth (TTM),-0.3579,-0.2824,Gowth rates,1.2673512747875355
Revenue Growth (MRQ),0.0825,0.15560000000000002,Gowth rates,0.5302056555269923
Revenue Growth (TTM),0.0638,0.1906,Gowth rates,0.3347324239244491
Return On Equity (TTM),-0.11800000000000001,0.2189,Effectiveness,-0.53905893101873
Return On Assets (TTM),-0.0784,0.10740000000000001,Effectiveness,-0.7299813780260707
Return On Investment (TTM),-0.10250000000000001,0.1387,Effectiveness,-0.7390050468637348
Revenue Per Employee (TTM),252033.0,667721.0,Effectiveness,0.37745255877829215
Total Debt/Total Capital (MRQ),0.0,0.39659999999999995,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0004,Financial strength,
Quick Ratio (MRQ),2.04,1.0,Financial strength,2.04
Interest Coverage (MRQ),0.76,0.28,Financial strength,2.714285714285714
