,IP
% Above Low,0.19649999999999998
% Held by Institutions,0.8482999999999999
52-Wk Range,['30.69 - 50.23']
Annual Dividend $,1.85
Annual Dividend %,0.0504
Ask,36.83
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.0
Bid,34.0
Bid Size,100.0
Closing Price,36.72
Day Change $,-0.09
Day Change %,-0.0024
Day High,36.91
Day Low,36.54
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",5.27
Ex-dividend,2022-11-14 00:00:00
Ex-dividend Date,11/14/22
Historical Volatility,0.295
Last (size),100.0
Last (time),5:00p ET 11/25/22
Market Cap,13.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",6.96
Prev Close,36.81
Short Interest,0.0405
Today's Open,36.8
Volume,861797.0
Volume 10-day Avg,3323398.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-31 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,0.4139344262295084
Growth 1yr High Est,0.49494949494949503
Growth 1yr Consensus Est,0.4544419605895017
Growth 2yr Low Est,0.062039676882870154
Growth 2yr High Est,0.24972699972699974
Growth 2yr Consensus Est,0.15588333830493495
Growth 5yr Low Est,-0.07545074979385905
Growth 5yr High Est,0.0387707846317118
Growth 5yr Consensus Est,-0.018339982581073624
Growth 5yr Actual/Est,-0.053303420267655555
Growth 3yr Historic,-0.05627217026765555
Price/Earnings (TTM),6.96372
Price/Sales (TTM),0.61856
Price/Book (MRQ),1.37623
Price/Cash Flow (TTM),4.85871
5yr Low,26.38
5yr High,66.94
5yr Avg Return,-0.053966666666666656
EPS Growth 5yr,0.0818152
Revenue Growth 5yr,-0.0013579
Dividend Growth 5yr,0.0232932
Short Int Current Month,14300040.0
Short Int Prev Month,14057884.0
Short Int Pct of Float,0.040532000000000006
Days to Cover,4.07971
Float,354.4241
Shares Outstanding,355.67
Institutions Holding Shares,1083.0
FCF Growth 5yr,0.034287954345481264
"Price/Earnings (TTM, GAAP)",6.96
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2832
Operating Profit Margin (TTM),0.064
Net Profit Margin (TTM),0.0768
Annual Dividend Yield,0.0504
Dividend Change %,-0.0244
"Dividend Growth Rate, 3 Years",0.0128
EPS Growth (MRQ),0.9142
EPS Growth (TTM),1.2930000000000001
Revenue Growth (MRQ),0.0024
Revenue Growth (TTM),0.2796
Return On Equity (TTM),0.2027
Return On Assets (TTM),0.059699999999999996
Return On Investment (TTM),0.0724
Revenue Per Employee (TTM),552723.0
Total Debt/Total Capital (MRQ),0.3619
Change in Debt/Total Capital Quarter over Quarter,-0.0025
Quick Ratio (MRQ),0.97
Interest Coverage (MRQ),4.72
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2022-10-04 00:00:00
researchTeam since,2022-08-20 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2019-05-29 00:00:00
ford since,2022-10-21 00:00:00
marketEdge opinion since,
