,IP,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",6.96,14.62,Valuation,0.4760601915184679
Price/Sales (TTM),0.62,1.05,Valuation,0.5904761904761905
Price/Book (MRQ),1.38,5.55,Valuation,0.24864864864864863
"PEG Ratio (TTM, GAAP)",,0.41,Valuation,
Gross Profit Margin (TTM),0.2832,0.2208,Profitability,1.282608695652174
Operating Profit Margin (TTM),0.064,0.09230000000000001,Profitability,0.6933911159263272
Net Profit Margin (TTM),0.0768,0.0636,Profitability,1.2075471698113205
Annual Dividend Yield,0.0504,0.0259,Dividend,1.945945945945946
Dividend Change %,-0.0244,0.0837,Dividend,-0.2915173237753883
"Dividend Growth Rate, 3 Years",0.0128,0.037700000000000004,Dividend,0.3395225464190981
EPS Growth (MRQ),0.9142,0.5963,Gowth rates,1.53312091229247
EPS Growth (TTM),1.2930000000000001,0.35340000000000005,Gowth rates,3.6587436332767402
Revenue Growth (MRQ),0.0024,0.1054,Gowth rates,0.022770398481973434
Revenue Growth (TTM),0.2796,0.1638,Gowth rates,1.7069597069597071
Return On Equity (TTM),0.2027,0.3788,Effectiveness,0.5351108764519534
Return On Assets (TTM),0.059699999999999996,0.0592,Effectiveness,1.0084459459459458
Return On Investment (TTM),0.0724,0.0793,Effectiveness,0.9129886506935688
Revenue Per Employee (TTM),552723.0,433957.0,Effectiveness,1.273681493788555
Total Debt/Total Capital (MRQ),0.3619,0.6087,Financial strength,0.5945457532446197
Change in Debt/Total Capital Quarter over Quarter,-0.0025,-0.0001,Financial strength,25.0
Quick Ratio (MRQ),0.97,0.9,Financial strength,1.0777777777777777
Interest Coverage (MRQ),4.72,9.25,Financial strength,0.5102702702702703
