,EVRI
% Above Low,0.09240000000000001
% Held by Institutions,0.884
52-Wk Range,['15.05 - 24.23']
Annual Dividend $,
Annual Dividend %,
Ask,19.3
Ask Size,500.0
B/A Ratio,1.4
B/A Size,700x500
Beta,2.4
Bid,12.39
Bid Size,700.0
Closing Price,16.44
Day Change $,0.23
Day Change %,0.014199999999999999
Day High,16.55
Day Low,16.24
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.83
Ex-dividend Date,No dividend
Historical Volatility,0.49600000000000005
Last (size),51.0
Last (time),5:00p ET 11/25/22
Market Cap,1.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",8.99
Prev Close,16.21
Short Interest,0.0227
Today's Open,16.29
Volume,225344.0
Volume 10-day Avg,641197.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,-2.1584158415841586
Growth 1yr High Est,-2.344444444444444
Growth 1yr Consensus Est,-2.2514301430143013
Growth 2yr Low Est,-1.1005754421596006
Growth 2yr High Est,-1.1432966023875113
Growth 2yr Consensus Est,-1.121936022273556
Growth 5yr Low Est,-0.7337169614397338
Growth 5yr High Est,-0.7621977349250075
Growth 5yr Consensus Est,-0.7479573481823706
Growth 5yr Actual/Est,-2.094749358076564
Growth 3yr Historic,-2.041294642857143
Price/Earnings (TTM),8.98636
Price/Sales (TTM),1.94158
Price/Book (MRQ),6.76274
Price/Cash Flow (TTM),4.83779
5yr Low,1.55
5yr High,26.61
5yr Avg Return,0.25455
EPS Growth 5yr,
Revenue Growth 5yr,-0.051330999999999995
Dividend Growth 5yr,
Short Int Current Month,1970383.0
Short Int Prev Month,1901720.0
Short Int Pct of Float,0.022681200000000002
Days to Cover,2.45615
Float,86.91583
Shares Outstanding,89.46673
Institutions Holding Shares,282.0
FCF Growth 5yr,0.005684591652481992
"Price/Earnings (TTM, GAAP)",8.99
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7963
Operating Profit Margin (TTM),0.2767
Net Profit Margin (TTM),0.2414
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.07440000000000001
EPS Growth (TTM),1.8088
Revenue Growth (MRQ),0.036000000000000004
Revenue Growth (TTM),0.2635
Return On Equity (TTM),1.2548000000000001
Return On Assets (TTM),0.1167
Return On Investment (TTM),0.1587
Revenue Per Employee (TTM),488738.0
Total Debt/Total Capital (MRQ),0.8174
Change in Debt/Total Capital Quarter over Quarter,-0.0013000000000000002
Quick Ratio (MRQ),1.1
Interest Coverage (MRQ),3.67
theStreet,rating-box
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
theStreet since,2022-04-04 00:00:00
researchTeam since,2022-08-20 00:00:00
ford since,2022-06-17 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
