,EVRI
Price/Earnings (TTM),8.98636
Price/Sales (TTM),1.94158
Price/Book (MRQ),6.76274
Price/Cash Flow (TTM),4.83779
5yr Low,1.55
5yr High,26.61
5yr Avg Return,0.25455
EPS Growth 5yr,
Revenue Growth 5yr,-0.051330999999999995
Dividend Growth 5yr,
Short Int Current Month,1970383.0
Short Int Prev Month,1901720.0
Short Int Pct of Float,0.022681200000000002
Days to Cover,2.45615
Float,86.91583
Shares Outstanding,89.46673
Institutions Holding Shares,282.0
% Held by Institutions,0.8839619999999999
FCF Growth 5yr,0.005684591652481992
