,FNF
% Above Low,0.1795
% Held by Institutions,0.7967
52-Wk Range,['34.51 - 56.44']
Annual Dividend $,1.8
Annual Dividend %,0.044199999999999996
Ask,46.22
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.3
Bid,39.89
Bid Size,100.0
Closing Price,40.7
Day Change $,0.73
Day Change %,0.0183
Day High,40.74
Day Low,40.0
Dividend Pay Date,2022-09-30 00:00:00
"EPS (TTM, GAAP)",5.64
Ex-dividend,2022-09-15 00:00:00
Ex-dividend Date,09/15/22
Historical Volatility,0.312
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,11.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",7.21
Prev Close,39.97
Short Interest,0.0169
Today's Open,40.0
Volume,529087.0
Volume 10-day Avg,1407535.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,0.6963190184049082
Growth 1yr High Est,0.6149425287356323
Growth 1yr Consensus Est,0.6556307735702702
Growth 2yr Low Est,0.3138014621861792
Growth 2yr High Est,0.3119196629443286
Growth 2yr Consensus Est,0.3128605625652539
Growth 5yr Low Est,0.1569007310930896
Growth 5yr High Est,0.1559598314721643
Growth 5yr Consensus Est,0.15643028128262695
Growth 5yr Actual/Est,0.18127720200474104
Growth 3yr Historic,0.2636554970004309
Price/Earnings (TTM),7.21372
Price/Sales (TTM),0.80259
Price/Book (MRQ),1.94256
Price/Cash Flow (TTM),5.097
5yr Low,19.0
5yr High,56.44
5yr Avg Return,0.033350000000000005
EPS Growth 5yr,0.3838826
Revenue Growth 5yr,0.1660377
Dividend Growth 5yr,0.1213169
Short Int Current Month,4317664.0
Short Int Prev Month,3472517.0
Short Int Pct of Float,0.0168873
Days to Cover,2.89546
Float,255.8167
Shares Outstanding,272.132
Institutions Holding Shares,807.0
FCF Growth 5yr,0.48467629664161577
"Price/Earnings (TTM, GAAP)",7.21
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.1671
Net Profit Margin (TTM),0.1155
Annual Dividend Yield,0.0442
Dividend Change %,0.15560000000000002
"Dividend Growth Rate, 3 Years",0.09140000000000001
EPS Growth (MRQ),-0.2325
EPS Growth (TTM),-0.3918
Revenue Growth (MRQ),0.2189
Revenue Growth (TTM),-0.0558
Return On Equity (TTM),0.21280000000000002
Return On Assets (TTM),0.026400000000000003
Return On Investment (TTM),
Revenue Per Employee (TTM),487805.0
Total Debt/Total Capital (MRQ),0.3171
Change in Debt/Total Capital Quarter over Quarter,-0.0018
Quick Ratio (MRQ),
Interest Coverage (MRQ),15.61
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2020-12-08 00:00:00
researchTeam since,2021-08-13 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2021-08-05 00:00:00
ford since,2022-07-08 00:00:00
marketEdge opinion since,
