,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,9.85,11.4,15.94,12.62,,,,,
low,9.75,9.1,10.5,7.95,,,,,
change,0.0051,0.094,0.16469999999999999,-0.1608,,,,,
Date,,,,,2022-01-01 00:00:00,2022-04-02 00:00:00,2022-07-02 00:00:00,2022-10-01 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,13.0,27.0,41.0,55.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,113.0,124.0,139.0,156.0,Balance Sheet
Prov. for Doubtful Accts,,,,,-5.0,-6.0,-7.0,-5.0,Balance Sheet
"Total Receivables, Net",,,,,107.0,119.0,133.0,152.0,Balance Sheet
Invent. - Finished Goods,,,,,14.0,17.0,18.0,20.0,Balance Sheet
Invent. - Work In Progress,,,,,1.0,1.0,1.0,1.0,Balance Sheet
Invent. - Raw Materials,,,,,42.0,46.0,48.0,48.0,Balance Sheet
Total Inventory,,,,,57.0,64.0,67.0,69.0,Balance Sheet
Prepaid Expenses,,,,,10.0,12.0,8.0,12.0,Balance Sheet
"Other Curr. Assets, Total",,,,,27.0,33.0,25.0,33.0,Balance Sheet
Total Current Assets,,,,,214.0,255.0,273.0,321.0,Balance Sheet
Buildings,,,,,5.0,5.0,5.0,6.0,Balance Sheet
Land/Improvements,,,,,5.0,5.0,5.0,5.0,Balance Sheet
Machinery/Equipment,,,,,36.0,36.0,37.0,37.0,Balance Sheet
Construction in Progress,,,,,4.0,5.0,5.0,6.0,Balance Sheet
Other Prop./Plant/Equip.,,,,,13.0,55.0,55.0,60.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,62.0,106.0,106.0,113.0,Balance Sheet
Accumulated Depreciation,,,,,-20.0,-22.0,-23.0,-25.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,42.0,84.0,83.0,88.0,Balance Sheet
"Goodwill, Net",,,,,369.0,369.0,368.0,367.0,Balance Sheet
Intangibles - Gross,,,,,580.0,580.0,578.0,576.0,Balance Sheet
Accum. Intangible Amort.,,,,,-144.0,-151.0,-159.0,-165.0,Balance Sheet
Intangibles - Net,,,,,436.0,428.0,419.0,410.0,Balance Sheet
Other Long Term Assets,,,,,2.0,2.0,2.0,2.0,Balance Sheet
Total Assets,,,,,1122.0,1199.0,1206.0,1249.0,Balance Sheet
Accounts Payable,,,,,55.0,65.0,56.0,56.0,Balance Sheet
Accrued Expenses,,,,,53.0,59.0,64.0,74.0,Balance Sheet
Notes Payable/ST Debt,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,8.0,8.0,8.0,8.0,Balance Sheet
Income Taxes Payable,,,,,1.0,7.0,2.0,2.0,Balance Sheet
Other Current Liabilities,,,,,23.0,28.0,26.0,27.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,24.0,35.0,28.0,29.0,Balance Sheet
