,SLCA
% Above Low,0.43229999999999996
% Held by Institutions,0.83
52-Wk Range,['8.72 - 21.54']
Annual Dividend $,
Annual Dividend %,
Ask,12.5
Ask Size,500.0
B/A Ratio,0.8
B/A Size,400x500
Beta,2.7
Bid,12.47
Bid Size,400.0
Day Change $,-0.2
Day Change %,-0.0158
Day High,12.68
Day Low,12.2
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.34
Ex-dividend Date,No dividend
Historical Volatility,0.675
Last (size),100.0
Last (time),2:32p ET 11/28/22
Market Cap,945.6M
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",37.35
Prev Close,12.69
Price,12.49
Short Interest,0.08
Today's Open,12.25
Volume Past Day,(Below Average)
Next Earnings Announcement,2023-02-24 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,-2.408450704225352
Growth 1yr High Est,-3.0
Growth 1yr Consensus Est,-2.704225352112676
Growth 2yr Low Est,-1.004225352112676
Growth 2yr High Est,-1.2008928571428572
Growth 2yr Consensus Est,-1.1025591046277667
Growth 5yr Low Est,-0.502112676056338
Growth 5yr High Est,-0.6004464285714286
Growth 5yr Consensus Est,-0.5512795523138834
Growth 5yr Actual/Est,-0.3639353885520924
Growth 3yr Historic,0.09854068396226412
Price/Earnings (TTM),37.35209
Price/Sales (TTM),0.68768
Price/Book (MRQ),1.45389
Price/Cash Flow (TTM),5.55952
5yr Low,0.79
5yr High,38.7
5yr Avg Return,-0.06833333333333336
EPS Growth 5yr,
Revenue Growth 5yr,0.1455258
Dividend Growth 5yr,
Short Int Current Month,5911043.0
Short Int Prev Month,6211256.0
Short Int Pct of Float,0.0800066
Days to Cover,8.37532
Float,74.1965
Shares Outstanding,75.70888
Institutions Holding Shares,257.0
FCF Growth 5yr,3.1363198761350297
"Price/Earnings (TTM, GAAP)",37.35
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3065
Operating Profit Margin (TTM),0.0735
Net Profit Margin (TTM),0.0195
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.4035
EPS Growth (TTM),1.7579
Revenue Growth (MRQ),0.078
Revenue Growth (TTM),0.33530000000000004
Return On Equity (TTM),0.0432
Return On Assets (TTM),0.0121
Return On Investment (TTM),0.013600000000000001
Revenue Per Employee (TTM),749907.0
Total Debt/Total Capital (MRQ),0.6247
Change in Debt/Total Capital Quarter over Quarter,-0.0009
Quick Ratio (MRQ),1.88
Interest Coverage (MRQ),3.02
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-10-25 00:00:00
theStreet since,2022-10-25 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-04 00:00:00
cfra since,
marketEdge opinion since,
