,SLCA,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",37.35,669.05,Valuation,0.05582542410881101
Price/Sales (TTM),0.69,2.16,Valuation,0.3194444444444444
Price/Book (MRQ),1.45,3.21,Valuation,0.4517133956386293
"PEG Ratio (TTM, GAAP)",,45.77,Valuation,
Gross Profit Margin (TTM),0.3065,0.1895,Profitability,1.6174142480211082
Operating Profit Margin (TTM),0.0735,0.0622,Profitability,1.1816720257234727
Net Profit Margin (TTM),0.0195,0.011899999999999999,Profitability,1.6386554621848741
Annual Dividend Yield,,0.0131,Dividend,
Dividend Change %,,-0.2443,Dividend,
"Dividend Growth Rate, 3 Years",,-0.21420000000000003,Dividend,
EPS Growth (MRQ),0.4035,0.659,Gowth rates,0.6122913505311077
EPS Growth (TTM),1.7579,-0.1462,Gowth rates,-12.023939808481533
Revenue Growth (MRQ),0.078,0.3728,Gowth rates,0.20922746781115878
Revenue Growth (TTM),0.33530000000000004,0.2954,Gowth rates,1.1350710900473935
Return On Equity (TTM),0.0432,0.0775,Effectiveness,0.5574193548387097
Return On Assets (TTM),0.0121,0.0348,Effectiveness,0.34770114942528735
Return On Investment (TTM),0.013600000000000001,0.1063,Effectiveness,0.1279397930385701
Revenue Per Employee (TTM),749907.0,673709.0,Effectiveness,1.1131022444408492
Total Debt/Total Capital (MRQ),0.6247,0.3983,Financial strength,1.5684157670097918
Change in Debt/Total Capital Quarter over Quarter,-0.0009,0.0006,Financial strength,-1.5
Quick Ratio (MRQ),1.88,1.2,Financial strength,1.5666666666666667
Interest Coverage (MRQ),3.02,15.83,Financial strength,0.19077700568540745
