,ORA
% Below High,0.1159
% Held by Institutions,0.8503000000000001
52-Wk Range,['60.32 - 101.81']
Annual Dividend $,0.48
Annual Dividend %,0.0053
Ask,90.1
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.5
Bid,89.92
Bid Size,100.0
Day Change $,-1.16
Day Change %,-0.0127
Day High,90.09
Day Low,89.61
Dividend Pay Date,2022-11-30 00:00:00
"EPS (TTM, GAAP)",1.18
Ex-dividend,2022-11-15 00:00:00
Ex-dividend Date,11/15/22
Historical Volatility,0.40299999999999997
Last (size),2.0
Last (time),9:35a ET 11/28/22
Market Cap,5.1B
Market Edge Opinion:,Neutral From Long
"P/E Ratio (TTM, GAAP)",77.1
Prev Close,91.17
Price,90.01
Short Interest,0.0832
Today's Open,90.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,-0.13245033112582782
Growth 1yr High Est,-0.29292929292929293
Growth 1yr Consensus Est,-0.21268981202756038
Growth 2yr Low Est,-0.035690814417875805
Growth 2yr High Est,0.11067821067821076
Growth 2yr Consensus Est,0.03749369813016748
Growth 5yr Low Est,-0.02379387627858387
Growth 5yr High Est,0.07378547378547384
Growth 5yr Consensus Est,0.024995798753444987
Growth 5yr Actual/Est,0.08078406079165362
Growth 3yr Historic,-0.006859692818596913
Price/Earnings (TTM),77.10393
Price/Sales (TTM),7.10043
Price/Book (MRQ),2.76734
Price/Cash Flow (TTM),18.12707
5yr Low,45.79
5yr High,128.87
5yr Avg Return,0.07446666666666667
EPS Growth 5yr,-0.0905222
Revenue Growth 5yr,0.0001488
Dividend Growth 5yr,-0.0158811
Short Int Current Month,4650342.0
Short Int Prev Month,5228909.0
Short Int Pct of Float,0.08317859999999999
Days to Cover,9.33669
Float,55.91776
Shares Outstanding,56.04818
Institutions Holding Shares,407.0
FCF Growth 5yr,0.46650798525798526
"Price/Earnings (TTM, GAAP)",77.1
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.36710000000000004
Operating Profit Margin (TTM),0.2466
Net Profit Margin (TTM),0.1193
Annual Dividend Yield,0.0053
Dividend Change %,0.0909
"Dividend Growth Rate, 3 Years",-0.0325
EPS Growth (MRQ),0.6095
EPS Growth (TTM),0.0271
Revenue Growth (MRQ),0.0403
Revenue Growth (TTM),0.10470000000000002
Return On Equity (TTM),0.0363
Return On Assets (TTM),0.0193
Return On Investment (TTM),0.022400000000000003
Revenue Per Employee (TTM),519612.0
Total Debt/Total Capital (MRQ),0.47000000000000003
Change in Debt/Total Capital Quarter over Quarter,-0.0012
Quick Ratio (MRQ),1.15
Interest Coverage (MRQ),1.85
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-11-18 00:00:00
theStreet since,2022-04-08 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-18 00:00:00
cfra since,
marketEdge opinion since,
