,AMWD
Price/Earnings (TTM),66.71114
Price/Sales (TTM),0.45058
Price/Book (MRQ),1.12258
Price/Cash Flow (TTM),8.49717
5yr Low,35.3
5yr High,148.44
5yr Avg Return,0.023099999999999992
EPS Growth 5yr,
Revenue Growth 5yr,0.1250782
Dividend Growth 5yr,
Short Int Current Month,337670.0
Short Int Prev Month,413800.0
Short Int Pct of Float,0.0205773
Days to Cover,3.7587
Float,16.42813
Shares Outstanding,16.62183
Institutions Holding Shares,217.0
% Held by Institutions,0.9093389999999999
FCF Growth 5yr,-0.9702854038146654
