,AMWD
% Below High,0.1953
% Held by Institutions,0.9093000000000001
52-Wk Range,['40.70 - 69.59']
Annual Dividend $,
Annual Dividend %,
Ask,56.0
Ask Size,200.0
B/A Ratio,1.5
B/A Size,300x200
Beta,1.8
Bid,49.5
Bid Size,300.0
Closing Price,56.0
Day Change $,-0.7
Day Change %,-0.0123
Day High,56.87
Day Low,55.62
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.84
Ex-dividend Date,No dividend
Historical Volatility,0.47600000000000003
Last (size),8.0
Last (time),12:59p ET 11/25/22
Market Cap,928.7M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",66.71
Prev Close,56.7
Short Interest,0.0206
Today's Open,56.87
Volume,38095.0
Volume 10-day Avg,118260.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,0.8870431893687709
Growth 1yr High Est,1.1941176470588237
Growth 1yr Consensus Est,1.0405804182137972
Growth 2yr Low Est,0.3880638482055122
Growth 2yr High Est,0.6332518530200285
Growth 2yr Consensus Est,0.5106578506127704
Growth 5yr Low Est,0.06347636854720054
Growth 5yr High Est,0.18419162498857578
Growth 5yr Consensus Est,0.12383399676788812
Growth 5yr Actual/Est,0.1146227693680727
Growth 3yr Historic,-0.12869226574355083
Price/Earnings (TTM),66.71114
Price/Sales (TTM),0.45058
Price/Book (MRQ),1.12258
Price/Cash Flow (TTM),8.49717
5yr Low,35.3
5yr High,148.44
5yr Avg Return,0.023099999999999992
EPS Growth 5yr,
Revenue Growth 5yr,0.1250782
Dividend Growth 5yr,
Short Int Current Month,337670.0
Short Int Prev Month,413800.0
Short Int Pct of Float,0.0205773
Days to Cover,3.7587
Float,16.42813
Shares Outstanding,16.62183
Institutions Holding Shares,217.0
FCF Growth 5yr,-0.9702854038146654
"Price/Earnings (TTM, GAAP)",66.71
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.1485
Operating Profit Margin (TTM),0.0139
Net Profit Margin (TTM),0.0068000000000000005
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.43090000000000006
EPS Growth (TTM),-0.47270000000000006
Revenue Growth (MRQ),0.034300000000000004
Revenue Growth (TTM),0.147
Return On Equity (TTM),0.018000000000000002
Return On Assets (TTM),0.0087
Return On Investment (TTM),0.0099
Revenue Per Employee (TTM),206583.0
Total Debt/Total Capital (MRQ),0.37079999999999996
Change in Debt/Total Capital Quarter over Quarter,-0.0006
Quick Ratio (MRQ),1.06
Interest Coverage (MRQ),9.51
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-11-23 00:00:00
ford since,2022-11-11 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2022-11-23 00:00:00
