,BLFS
% Above Low,1.0394
% Held by Institutions,0.9203
52-Wk Range,['10.40 - 44.79']
Annual Dividend $,
Annual Dividend %,
Ask,23.0
Ask Size,100.0
B/A Ratio,4.0
B/A Size,400x100
Beta,1.7
Bid,20.7
Bid Size,400.0
Closing Price,21.21
Day Change $,-0.34
Day Change %,-0.0158
Day High,21.55
Day Low,20.8
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.45
Ex-dividend Date,No dividend
Historical Volatility,0.9209999999999999
Last (size),1.0
Last (time),12:59p ET 11/25/22
Market Cap,904.9M
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,21.55
Short Interest,0.0761
Today's Open,21.43
Volume,150898.0
Volume 10-day Avg,412043.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-27 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.7413793103448276
Growth 2yr High Est,-1.042654028436019
Growth 2yr Consensus Est,-0.8920166693904233
Growth 5yr Low Est,-0.7413793103448276
Growth 5yr High Est,-1.042654028436019
Growth 5yr Consensus Est,-0.8920166693904233
Growth 5yr Actual/Est,1.0627546706841862
Growth 3yr Historic,-1.0575396825396826
Price/Earnings (TTM),
Price/Sales (TTM),5.85941
Price/Book (MRQ),2.21873
Price/Cash Flow (TTM),
5yr Low,4.63
5yr High,60.67
5yr Avg Return,0.3942833333333333
EPS Growth 5yr,
Revenue Growth 5yr,0.7067700000000001
Dividend Growth 5yr,
Short Int Current Month,3028959.0
Short Int Prev Month,2614532.0
Short Int Pct of Float,0.076105
Days to Cover,4.74902
Float,39.77895
Shares Outstanding,42.76599
Institutions Holding Shares,251.0
FCF Growth 5yr,0.2686609656595671
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2973
Operating Profit Margin (TTM),-0.7270000000000001
Net Profit Margin (TTM),-0.6720999999999999
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.8634000000000001
EPS Growth (TTM),-27.240700000000004
Revenue Growth (MRQ),0.0053
Revenue Growth (TTM),0.6029
Return On Equity (TTM),-0.23140000000000002
Return On Assets (TTM),-0.19870000000000002
Return On Investment (TTM),-0.2136
Revenue Per Employee (TTM),358345.0
Total Debt/Total Capital (MRQ),0.061200000000000004
Change in Debt/Total Capital Quarter over Quarter,0.019
Quick Ratio (MRQ),2.76
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
theStreet,rating-box
researchTeam since,2021-11-19 00:00:00
ford since,2022-05-13 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2022-04-13 00:00:00
theStreet since,
