,BLFS,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,61.36,Valuation,
Price/Sales (TTM),5.86,9.8,Valuation,0.5979591836734693
Price/Book (MRQ),2.22,10.31,Valuation,0.21532492725509214
"PEG Ratio (TTM, GAAP)",,3.02,Valuation,
Gross Profit Margin (TTM),0.2973,0.6196,Profitability,0.4798256939961265
Operating Profit Margin (TTM),-0.7270000000000001,0.047,Profitability,-15.468085106382981
Net Profit Margin (TTM),-0.6720999999999999,0.009300000000000001,Profitability,-72.26881720430106
Annual Dividend Yield,,0.0095,Dividend,
Dividend Change %,,0.0679,Dividend,
"Dividend Growth Rate, 3 Years",,0.0524,Dividend,
EPS Growth (MRQ),0.8634000000000001,-0.4858,Gowth rates,-1.7772745986002472
EPS Growth (TTM),-27.240700000000004,-0.2029,Gowth rates,134.25677673730905
Revenue Growth (MRQ),0.0053,0.1161,Gowth rates,0.04565030146425496
Revenue Growth (TTM),0.6029,0.18300000000000002,Gowth rates,3.2945355191256827
Return On Equity (TTM),-0.23140000000000002,0.1068,Effectiveness,-2.166666666666667
Return On Assets (TTM),-0.19870000000000002,0.0622,Effectiveness,-3.194533762057878
Return On Investment (TTM),-0.2136,0.0732,Effectiveness,-2.918032786885246
Revenue Per Employee (TTM),358345.0,403586.0,Effectiveness,0.8879024544954484
Total Debt/Total Capital (MRQ),0.061200000000000004,0.3161,Financial strength,0.19360961720974376
Change in Debt/Total Capital Quarter over Quarter,0.019,0.0125,Financial strength,1.5199999999999998
Quick Ratio (MRQ),2.76,2.25,Financial strength,1.2266666666666666
Interest Coverage (MRQ),,14.99,Financial strength,
