,DO
% Below High,0.2184
% Held by Institutions,0.9369
52-Wk Range,['5.17 - 12.04']
Annual Dividend $,
Annual Dividend %,
Ask,10.16
Ask Size,800.0
B/A Ratio,0.375
B/A Size,300x800
Beta,
Bid,7.03
Bid Size,300.0
Closing Price,9.41
Day Change $,-0.09
Day Change %,-0.0095
Day High,9.64
Day Low,9.33
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.76
Ex-dividend Date,No dividend
Historical Volatility,0.6609999999999999
Last (size),32.0
Last (time),5:00p ET 11/25/22
Market Cap,955.3M
"P/E Ratio (TTM, GAAP)",
Prev Close,9.5
Short Interest,0.045899999999999996
Today's Open,9.47
Volume,363499.0
Volume 10-day Avg,867210.0
Volume Past Day,(Light)
Price/Earnings (TTM),
Price/Sales (TTM),1.13019
Price/Book (MRQ),1.30373
Price/Cash Flow (TTM),
5yr Low,5.17
5yr High,12.04
5yr Avg Return,-0.2158
EPS Growth 5yr,
Revenue Growth 5yr,-0.146353
Dividend Growth 5yr,
Short Int Current Month,4585570.0
Short Int Prev Month,5383487.0
Short Int Pct of Float,0.045876200000000006
Days to Cover,3.7832
Float,100.2831
Shares Outstanding,101.5244
Institutions Holding Shares,159.0
FCF Growth 5yr,0.828100877032185
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.1437
Operating Profit Margin (TTM),-0.212
Net Profit Margin (TTM),-0.2078
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),1.246
EPS Growth (TTM),0.9131999999999999
Revenue Growth (MRQ),0.099
Revenue Growth (TTM),0.2688
Return On Equity (TTM),-0.21710000000000002
Return On Assets (TTM),-0.1092
Return On Investment (TTM),-0.12689999999999999
Revenue Per Employee (TTM),444891.0
Total Debt/Total Capital (MRQ),0.4006
Change in Debt/Total Capital Quarter over Quarter,0.0014000000000000002
Quick Ratio (MRQ),
Interest Coverage (MRQ),-0.76
ford,rating-box
cfra,
newConstructs,rating-box
theStreet,rating-box
researchTeam,rating-box
marketEdge opinion,
ford since,2022-09-23 00:00:00
cfra since,
newConstructs since,
theStreet since,
researchTeam since,
marketEdge opinion since,
