,DO,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,669.05,Valuation,
Price/Sales (TTM),1.13,2.16,Valuation,0.523148148148148
Price/Book (MRQ),1.3,3.21,Valuation,0.4049844236760125
"PEG Ratio (TTM, GAAP)",,45.77,Valuation,
Gross Profit Margin (TTM),0.1437,0.1895,Profitability,0.758311345646438
Operating Profit Margin (TTM),-0.212,0.0622,Profitability,-3.4083601286173635
Net Profit Margin (TTM),-0.2078,0.011899999999999999,Profitability,-17.46218487394958
Annual Dividend Yield,,0.0131,Dividend,
Dividend Change %,,-0.2443,Dividend,
"Dividend Growth Rate, 3 Years",,-0.21420000000000003,Dividend,
EPS Growth (MRQ),1.246,0.659,Gowth rates,1.8907435508345978
EPS Growth (TTM),0.9131999999999999,-0.1462,Gowth rates,-6.246238030095759
Revenue Growth (MRQ),0.099,0.3728,Gowth rates,0.2655579399141631
Revenue Growth (TTM),0.2688,0.2954,Gowth rates,0.909952606635071
Return On Equity (TTM),-0.21710000000000002,0.0775,Effectiveness,-2.8012903225806456
Return On Assets (TTM),-0.1092,0.0348,Effectiveness,-3.137931034482759
Return On Investment (TTM),-0.12689999999999999,0.1063,Effectiveness,-1.1937911571025397
Revenue Per Employee (TTM),444891.0,673709.0,Effectiveness,0.6603607789119634
Total Debt/Total Capital (MRQ),0.4006,0.3983,Financial strength,1.0057745418026613
Change in Debt/Total Capital Quarter over Quarter,0.0014000000000000002,0.0006,Financial strength,2.333333333333334
Quick Ratio (MRQ),,1.2,Financial strength,
Interest Coverage (MRQ),-0.76,15.83,Financial strength,-0.04801010739102969
