,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,12.04,,,,,
low,5.17,,,,,
change,-0.2158,,,,,
Date,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,38.0,54.0,43.0,23.0,Balance Sheet
"Trade Accts Recvble, Gross",,130.0,108.0,141.0,168.0,Balance Sheet
Prov. for Doubtful Accts,,-6.0,-6.0,-6.0,-6.0,Balance Sheet
"Trade Accts Recvble, Net",,126.0,105.0,140.0,163.0,Balance Sheet
Other Receivables,,22.0,17.0,16.0,18.0,Balance Sheet
"Total Receivables, Net",,148.0,122.0,157.0,180.0,Balance Sheet
Prepaid Expenses,,24.0,25.0,30.0,33.0,Balance Sheet
Restricted Cash - Current,,24.0,19.0,15.0,39.0,Balance Sheet
Discont. Ops.-Curr. Assets,,1.0,0.0,0.0,0.0,Balance Sheet
Other Current Assets,,35.0,35.0,31.0,26.0,Balance Sheet
"Other Curr. Assets, Total",,61.0,55.0,45.0,65.0,Balance Sheet
Total Current Assets,,272.0,255.0,275.0,301.0,Balance Sheet
Land/Improvements,,10.0,10.0,10.0,10.0,Balance Sheet
Machinery/Equipment,,1058.0,1084.0,1094.0,1103.0,Balance Sheet
Other Prop./Plant/Equip.,,216.0,177.0,177.0,177.0,Balance Sheet
Prop./Plant/Equip. - Gross,,1283.0,1271.0,1281.0,1290.0,Balance Sheet
Accumulated Depreciation,,-69.0,-95.0,-121.0,-147.0,Balance Sheet
Prop./Plant/Equip. - Net,,1215.0,1175.0,1160.0,1143.0,Balance Sheet
Other Long Term Assets,,25.0,83.0,80.0,80.0,Balance Sheet
Total Assets,,1531.0,1513.0,1515.0,1524.0,Balance Sheet
Accounts Payable,,39.0,46.0,49.0,40.0,Balance Sheet
Accrued Expenses,,105.0,110.0,123.0,124.0,Balance Sheet
Notes Payable/ST Debt,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,16.0,16.0,16.0,17.0,Balance Sheet
Customer Advances,,39.0,28.0,22.0,26.0,Balance Sheet
Income Taxes Payable,,35.0,34.0,27.0,25.0,Balance Sheet
"Other Curr. Lblts, Total",,73.0,62.0,49.0,51.0,Balance Sheet
Total Current Liabilities,,233.0,234.0,238.0,231.0,Balance Sheet
Long Term Debt,,266.0,286.0,306.0,336.0,Balance Sheet
Capital Lease Obligations,,148.0,144.0,140.0,136.0,Balance Sheet
Total Long Term Debt,,415.0,431.0,447.0,471.0,Balance Sheet
Total Debt,,430.0,447.0,463.0,488.0,Balance Sheet
Deferred Income Tax,,2.0,2.0,2.0,2.0,Balance Sheet
"Other Liabilities, Total",,115.0,108.0,104.0,89.0,Balance Sheet
Total Liabilities,,764.0,775.0,791.0,794.0,Balance Sheet
"Pref. Stock-Non Rdmbl, Net",,,0.0,,0.0,Balance Sheet
Common Stock,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,945.0,950.0,958.0,962.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,-177.0,-212.0,-234.0,-228.0,Balance Sheet
Treasury Stock - Common,,,,0.0,-3.0,Balance Sheet
Total Equity,,768.0,738.0,724.0,730.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,1531.0,1513.0,1515.0,1524.0,Balance Sheet
Ttl Comm. Shares Outs.,,100.0,100.0,100.0,101.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,227278.0,186239.0,205702.0,226073.0,Income Statement
"Cost of Revenue, Total",,181286.0,180515.0,170704.0,191332.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,16301.0,16732.0,19753.0,16320.0,Income Statement
Depreciation/Amortization,,24619.0,26952.0,25693.0,26069.0,Income Statement
Restructuring Charge,,634.0,0.0,0.0,0.0,Income Statement
Impair-Assets Held for Use,,132449.0,0.0,0.0,,Income Statement
Unusual Expense (Income),,133002.0,-4044.0,-685.0,-73.0,Income Statement
Loss(Gain)/Sale Asts (Oper),,-81.0,-4044.0,-685.0,-73.0,Income Statement
Total Operating Expense,,355208.0,220155.0,215465.0,233648.0,Income Statement
Total Operating Income,,-127930.0,-33916.0,-9763.0,-7575.0,Income Statement
"Inter Expse,Net Non-Operat",,-9306.0,-8325.0,-10103.0,-10364.0,Income Statement
"Inter Income, Non-Operating",,0.0,1.0,0.0,11.0,Income Statement
"Invest Income, Non-Operat",,-1256.0,-2129.0,1607.0,237.0,Income Statement
"Inter/Invest Inc, Non-Oper",,-1256.0,-2128.0,1607.0,248.0,Income Statement
OtherNon-OperatInc (Expnse),,60.0,1362.0,-47.0,172.0,Income Statement
"Other, Net",,60.0,1362.0,-47.0,172.0,Income Statement
Income Before Tax,,-138432.0,-43007.0,-18306.0,-17519.0,Income Statement
Income Tax - Total,,-13563.0,-8653.0,3623.0,-23029.0,Income Statement
Income After Tax,,-124869.0,-34354.0,-21929.0,5510.0,Income Statement
Net Inc Before Extra Items,,-124869.0,-34354.0,-21929.0,5510.0,Income Statement
Total Net Income,,-124869.0,-34354.0,-21929.0,5510.0,Income Statement
Income Available to Common Excl. Extra. Items,,-124869.0,-34354.0,-21929.0,5510.0,Income Statement
Income Available to Common Incl. Extra. Items,,-124869.0,-34354.0,-21929.0,5510.0,Income Statement
Basic/Primary Weighted Average Shares,,100080.0,100075.0,100108.0,100875.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,-1.25,-0.34,-0.22,0.05,Income Statement
Basic/Primary EPS Incl. Extra. Items,,-1.25,-0.34,-0.22,0.05,Income Statement
Diluted Weighted Average Shares,,100080.0,100075.0,100108.0,102273.0,Income Statement
Diluted EPS Excl. Extra. Items,,-1.25,-0.34,-0.22,0.05,Income Statement
Diluted EPS Incl. Extra. Items,,-1.25,-0.34,-0.22,0.05,Income Statement
Div/Share-ComStockPrimIssue,,,0.0,0.0,,Income Statement
Gross Divid - Common Stock,,,0.0,0.0,0.0,Income Statement
Pro Forma Net Income,,,,,,Income Statement
"Interest Expense, Suppl",,9306.0,8325.0,10103.0,10364.0,Income Statement
"Depreciat/Amort, Suppl",,24619.0,26952.0,25693.0,26069.0,Income Statement
Total Special Items,,133002.0,-4044.0,-685.0,-73.0,Income Statement
Normalzd Income Before Tax,,-5430.0,-47051.0,-18991.0,-17592.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,46551.0,-1415.0,-240.0,-26.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,32988.0,-10068.0,3383.0,-23055.0,Income Statement
Normalized Income After Tax,,-38418.0,-36983.0,-22374.0,5463.0,Income Statement
Normalzd Inc Avail to Common,,-38418.0,-36983.0,-22374.0,5463.0,Income Statement
Basic Normalized EPS,,-0.38,-0.37,-0.22,0.05,Income Statement
Diluted Normalized EPS,,-0.38,-0.37,-0.22,0.05,Income Statement
Date,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Cash Flow
Net Income,,-2139.0,-34.0,-56.0,-51.0,Cash Flow
Depreciation/Depletion,,161.0,27.0,53.0,79.0,Cash Flow
Deferred Taxes,,-39.0,-5.0,-2.0,-8.0,Cash Flow
Unusual Items,,1910.0,-4.0,-5.0,-5.0,Cash Flow
Other Non-Cash Items,,-8.0,5.0,27.0,31.0,Cash Flow
Non-Cash Items,,1903.0,1.0,22.0,26.0,Cash Flow
"Cash Taxes Pd, Supplemental",,6.0,1.0,14.0,15.0,Cash Flow
"Cash Interest Pd, Suppl",,51.0,3.0,13.0,18.0,Cash Flow
Accounts Receivable,,-17.0,27.0,-8.0,-32.0,Cash Flow
Prepaid Expenses,,-2.0,1.0,-9.0,-1.0,Cash Flow
Other Assets,,3.0,0.0,0.0,-1.0,Cash Flow
Accounts Payable,,-11.0,11.0,29.0,21.0,Cash Flow
Changes in Working Capital,,34.0,20.0,-28.0,-68.0,Cash Flow
Total Cash from Operations,,-81.0,9.0,-11.0,-22.0,Cash Flow
Capital Expenditures,,-92.0,-20.0,-32.0,-43.0,Cash Flow
Sale of Fixed Assets,,9.0,5.0,6.0,6.0,Cash Flow
Sale/Maturity of Investment,,0.0,,,,Cash Flow
"OtherInvestCashFlowItms,Tot",,9.0,5.0,6.0,6.0,Cash Flow
Total Cash from Investing,,-83.0,-15.0,-27.0,-37.0,Cash Flow
Financing Cash Flow Items,,240.0,0.0,,,Cash Flow
Long Term Debt Issued,,75.0,20.0,40.0,69.0,Cash Flow
Long Term Debt Reduction,,-518.0,-4.0,-8.0,-12.0,Cash Flow
"Iss (Retirmnt) of Debt, Net",,-443.0,16.0,32.0,57.0,Cash Flow
Total Cash From Financing,,-203.0,16.0,32.0,57.0,Cash Flow
Net Change in Cash,,-368.0,10.0,-5.0,-1.0,Cash Flow
NetCash-BeginBal/RsvdforFutUse,,546.0,63.0,63.0,63.0,Cash Flow
NetCash-EndBal/RsrvforFutUse,,178.0,73.0,58.0,61.0,Cash Flow
"Depreciation, Supplemental",,161.0,27.0,53.0,79.0,Cash Flow
Free Cash Flow,,-173.0,-11.0,-43.0,-65.0,
FCF Growth,,,-0.9364161849710982,2.909090909090909,0.5116279069767442,
