,AGL
% Above Low,0.1602
% Held by Institutions,1.0284
52-Wk Range,['14.36 - 28.36']
Annual Dividend $,
Annual Dividend %,
Ask,29.97
Ask Size,700.0
B/A Ratio,0.14285714285714285
B/A Size,100x700
Beta,
Bid,15.75
Bid Size,100.0
Closing Price,16.66
Day Change $,0.23
Day Change %,0.013999999999999999
Day High,16.74
Day Low,16.15
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.27
Ex-dividend Date,No dividend
Historical Volatility,0.682
Last (size),609.0
Last (time),5:00p ET 11/25/22
Market Cap,6.9B
"P/E Ratio (TTM, GAAP)",
Prev Close,16.43
Short Interest,0.109
Today's Open,16.34
Volume,575119.0
Volume 10-day Avg,1583895.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-02 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.43999999999999995
Growth 2yr High Est,-1.5294117647058822
Growth 2yr Consensus Est,-0.9847058823529411
Growth 5yr Low Est,-0.43999999999999995
Growth 5yr High Est,-1.5294117647058822
Growth 5yr Consensus Est,-0.9847058823529411
Growth 5yr Actual/Est,-0.9036697247706422
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),2.76526
Price/Book (MRQ),6.31746
Price/Cash Flow (TTM),
5yr Low,14.36
5yr High,44.83
5yr Avg Return,-0.2144
Short Int Current Month,23188440.0
Short Int Prev Month,24027556.0
Short Int Pct of Float,0.1090257
Days to Cover,10.92686
Float,407.2436
Shares Outstanding,411.8548
Institutions Holding Shares,252.0
FCF Growth 5yr,0.6326047141264532
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.1125
Operating Profit Margin (TTM),-0.0422
Net Profit Margin (TTM),-0.04360000000000001
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.4389
EPS Growth (TTM),
Revenue Growth (MRQ),0.0369
Revenue Growth (TTM),
Return On Equity (TTM),-0.0976
Return On Assets (TTM),-0.0609
Return On Investment (TTM),-0.08750000000000001
Revenue Per Employee (TTM),3829202.0
Total Debt/Total Capital (MRQ),0.0396
Change in Debt/Total Capital Quarter over Quarter,-0.0019
Quick Ratio (MRQ),
Interest Coverage (MRQ),-29.01
researchTeam,rating-box
ford,rating-box
cfra,
theStreet,rating-box
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-08-19 00:00:00
ford since,2021-10-29 00:00:00
cfra since,
theStreet since,2022-08-19 00:00:00
newConstructs since,
marketEdge opinion since,
