,AGL,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,29.13,Valuation,
Price/Sales (TTM),2.77,1.32,Valuation,2.0984848484848486
Price/Book (MRQ),6.32,4.31,Valuation,1.466357308584687
"PEG Ratio (TTM, GAAP)",,0.26,Valuation,
Gross Profit Margin (TTM),0.1125,0.1318,Profitability,0.8535660091047041
Operating Profit Margin (TTM),-0.0422,0.0458,Profitability,-0.9213973799126638
Net Profit Margin (TTM),-0.04360000000000001,0.0242,Profitability,-1.801652892561984
Annual Dividend Yield,,0.0108,Dividend,
Dividend Change %,,7.1517,Dividend,
"Dividend Growth Rate, 3 Years",,0.3483,Dividend,
EPS Growth (MRQ),-0.4389,-0.1478,Gowth rates,2.9695534506089314
EPS Growth (TTM),,-1.101,Gowth rates,
Revenue Growth (MRQ),0.0369,0.0931,Gowth rates,0.3963480128893663
Revenue Growth (TTM),,0.1191,Gowth rates,
Return On Equity (TTM),-0.0976,7.2022,Effectiveness,-0.013551414845463886
Return On Assets (TTM),-0.0609,0.0403,Effectiveness,-1.511166253101737
Return On Investment (TTM),-0.08750000000000001,0.016,Effectiveness,-5.46875
Revenue Per Employee (TTM),3829202.0,1375304.0,Effectiveness,2.784258607551494
Total Debt/Total Capital (MRQ),0.0396,0.4855,Financial strength,0.0815653964984552
Change in Debt/Total Capital Quarter over Quarter,-0.0019,0.0015,Financial strength,-1.2666666666666666
Quick Ratio (MRQ),,0.31,Financial strength,
Interest Coverage (MRQ),-29.01,9.55,Financial strength,-3.0376963350785338
