,BAND
% Above Low,1.2293
% Held by Institutions,0.7428
52-Wk Range,['9.20 - 75.40']
Annual Dividend $,
Annual Dividend %,
Ask,20.7
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.0
Bid,20.27
Bid Size,100.0
Closing Price,20.51
Day Change $,0.22
Day Change %,0.0108
Day High,20.6
Day Low,19.35
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.87
Ex-dividend Date,No dividend
Historical Volatility,1.03
Last (size),11.0
Last (time),1:00p ET 11/25/22
Market Cap,519.4M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,20.29
Short Interest,0.1165
Today's Open,20.15
Volume,323950.0
Volume 10-day Avg,887949.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.08571428571428563
Growth 2yr High Est,1.4
Growth 2yr Consensus Est,0.6571428571428571
Growth 5yr Low Est,-0.08571428571428563
Growth 5yr High Est,1.4
Growth 5yr Consensus Est,0.6571428571428571
Growth 5yr Actual/Est,-0.7034480631970547
Growth 3yr Historic,-0.6569169960474308
Price/Earnings (TTM),
Price/Sales (TTM),0.95776
Price/Book (MRQ),2.66903
Price/Cash Flow (TTM),37.12151
5yr Low,9.2
5yr High,198.61
5yr Avg Return,0.2647666666666666
EPS Growth 5yr,
Revenue Growth 5yr,0.2640202
Dividend Growth 5yr,
Short Int Current Month,2459733.0
Short Int Prev Month,2477476.0
Short Int Pct of Float,0.1165287
Days to Cover,1.04925
Float,21.13002
Shares Outstanding,25.32444
Institutions Holding Shares,221.0
FCF Growth 5yr,-0.5521669427251106
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.4201
Operating Profit Margin (TTM),-0.0394
Net Profit Margin (TTM),-0.0406
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.8718000000000001
EPS Growth (TTM),0.44430000000000003
Revenue Growth (MRQ),0.0867
Revenue Growth (TTM),0.135
Return On Equity (TTM),-0.0706
Return On Assets (TTM),-0.0209
Return On Investment (TTM),-0.0234
Revenue Per Employee (TTM),493009.0
Total Debt/Total Capital (MRQ),0.7661
Change in Debt/Total Capital Quarter over Quarter,0.0045000000000000005
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2021-08-13 00:00:00
ford since,2021-09-10 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2021-08-23 00:00:00
