,EIG,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",22.77,19.61,Valuation,1.1611422743498214
Price/Sales (TTM),1.79,2.33,Valuation,0.7682403433476395
Price/Book (MRQ),1.34,3.82,Valuation,0.35078534031413616
"PEG Ratio (TTM, GAAP)",,37.63,Valuation,
Gross Profit Margin (TTM),,0.0226,Profitability,
Operating Profit Margin (TTM),0.1011,0.1298,Profitability,0.7788906009244992
Net Profit Margin (TTM),0.081,0.10460000000000001,Profitability,0.774378585086042
Annual Dividend Yield,0.0229,0.0168,Dividend,1.3630952380952381
Dividend Change %,0.0,-0.0075,Dividend,-0.0
"Dividend Growth Rate, 3 Years",0.0772,0.0225,Dividend,3.4311111111111114
EPS Growth (MRQ),2.2338999999999998,-0.0779,Gowth rates,-28.676508344030808
EPS Growth (TTM),-0.5499,-0.005200000000000001,Gowth rates,105.75
Revenue Growth (MRQ),0.5107,0.0897,Gowth rates,5.693422519509476
Revenue Growth (TTM),-0.0042,0.042800000000000005,Gowth rates,-0.09813084112149531
Return On Equity (TTM),0.053099999999999994,0.3775,Effectiveness,0.14066225165562912
Return On Assets (TTM),0.0149,0.031200000000000002,Effectiveness,0.47756410256410253
Return On Investment (TTM),,0.035,Effectiveness,
Revenue Per Employee (TTM),1137336.0,1261907.0,Effectiveness,0.9012835335726008
Total Debt/Total Capital (MRQ),0.0161,0.4026,Financial strength,0.03999006458022851
Change in Debt/Total Capital Quarter over Quarter,0.2096,0.002,Financial strength,104.8
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),22.64,10.79,Financial strength,2.0982391102873033
