,EIG
Price/Earnings (TTM),22.76522
Price/Sales (TTM),1.78558
Price/Book (MRQ),1.34354
Price/Cash Flow (TTM),16.01467
5yr Low,25.53
5yr High,50.45
5yr Avg Return,-0.0010999999999999972
EPS Growth 5yr,0.052109199999999994
Revenue Growth 5yr,-0.020494699999999998
Dividend Growth 5yr,0.2267032
Short Int Current Month,264389.0
Short Int Prev Month,248683.0
Short Int Pct of Float,0.0100645
Days to Cover,2.03661
Float,26.2825
Shares Outstanding,27.19673
Institutions Holding Shares,233.0
% Held by Institutions,0.7974049999999999
FCF Growth 5yr,1.097059422059422
