,PHR
% Above Low,0.8613
% Held by Institutions,0.9364
52-Wk Range,['13.19 - 61.06']
Annual Dividend $,
Annual Dividend %,
Ask,24.57
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,0.7
Bid,24.44
Bid Size,200.0
Day Change $,-0.27
Day Change %,-0.0109
Day High,25.13
Day Low,24.52
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-3.53
Ex-dividend Date,No dividend
Historical Volatility,0.779
Last (size),1.0
Last (time),10:45a ET 11/28/22
Market Cap,1.3B
"P/E Ratio (TTM, GAAP)",
Prev Close,24.82
Price,24.55
Short Interest,0.038
Today's Open,24.58
Volume Past Day,(Average)
Next Earnings Announcement,2022-12-08 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,5.365853658536586
Growth 1yr High Est,6.606060606060605
Growth 1yr Consensus Est,5.985957132298595
Growth 2yr Low Est,2.579478553406224
Growth 2yr High Est,3.1516358807195455
Growth 2yr Consensus Est,2.865557217062885
Growth 5yr Low Est,1.7196523689374825
Growth 5yr High Est,2.1010905871463637
Growth 5yr Consensus Est,1.910371478041923
Growth 5yr Actual/Est,1.6224029855844775
Growth 3yr Historic,1.5464285714285713
Price/Earnings (TTM),
Price/Sales (TTM),5.31844
Price/Book (MRQ),3.74008
Price/Cash Flow (TTM),
5yr Low,13.19
5yr High,81.59
5yr Avg Return,0.09267500000000002
Short Int Current Month,1899570.0
Short Int Prev Month,2154661.0
Short Int Pct of Float,0.0380221
Days to Cover,6.51499
Float,50.4358
Shares Outstanding,52.53217
Institutions Holding Shares,257.0
FCF Growth 5yr,0.24630392995917635
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6026
Operating Profit Margin (TTM),-0.7313
Net Profit Margin (TTM),-0.7373000000000001
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.0951
EPS Growth (TTM),-2.2644
Revenue Growth (MRQ),0.0712
Revenue Growth (TTM),0.3652
Return On Equity (TTM),-0.4329
Return On Assets (TTM),-0.3699
Return On Investment (TTM),-0.4265
Revenue Per Employee (TTM),144125.0
Total Debt/Total Capital (MRQ),0.029700000000000004
Change in Debt/Total Capital Quarter over Quarter,0.0037
Quick Ratio (MRQ),
Interest Coverage (MRQ),-224.93
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2020-09-09 00:00:00
theStreet since,2020-09-09 00:00:00
ford since,2022-06-03 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
