,2019,2020,2021,2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Report
high,31.0,59.67,81.59,43.47,,,,,
low,22.05,16.01,38.91,13.19,,,,,
change,-0.0040999999999999995,1.0292000000000001,-0.2403,-0.41409999999999997,,,,,
Date,,,,,2021-10-31 00:00:00,2022-01-31 00:00:00,2022-04-30 00:00:00,2022-07-31 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,400.0,314.0,269.0,241.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,35.0,41.0,46.0,45.0,Balance Sheet
Prov. for Doubtful Accts,,,,,-1.0,-1.0,-1.0,-1.0,Balance Sheet
"Trade Accts Recvble, Net",,,,,35.0,40.0,46.0,47.0,Balance Sheet
Other Receivables,,,,,16.0,20.0,21.0,20.0,Balance Sheet
"Total Receivables, Net",,,,,52.0,60.0,68.0,67.0,Balance Sheet
Prepaid Expenses,,,,,10.0,11.0,11.0,8.0,Balance Sheet
"Other Curr. Assets, Total",,,,,2.0,2.0,2.0,1.0,Balance Sheet
Total Current Assets,,,,,464.0,386.0,349.0,316.0,Balance Sheet
Buildings,,,,,1.0,1.0,1.0,1.0,Balance Sheet
Machinery/Equipment,,,,,82.0,87.0,88.0,89.0,Balance Sheet
Other Prop./Plant/Equip.,,,,,3.0,3.0,3.0,2.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,86.0,90.0,91.0,92.0,Balance Sheet
Accumulated Depreciation,,,,,-51.0,-53.0,-58.0,-62.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,35.0,37.0,34.0,30.0,Balance Sheet
"Goodwill, Net",,,,,8.0,34.0,34.0,34.0,Balance Sheet
Intangibles - Gross,,,,,47.0,63.0,69.0,75.0,Balance Sheet
Accum. Intangible Amort.,,,,,-31.0,-32.0,-34.0,-36.0,Balance Sheet
Intangibles - Net,,,,,16.0,30.0,35.0,40.0,Balance Sheet
Deferred Charges,,,,,2.0,2.0,2.0,2.0,Balance Sheet
Def. Inc. Tax - LT Asset,,,,,0.0,1.0,0.0,0.0,Balance Sheet
Other Long Term Assets,,,,,3.0,4.0,5.0,4.0,Balance Sheet
Total Assets,,,,,529.0,494.0,459.0,426.0,Balance Sheet
Accounts Payable,,,,,12.0,5.0,6.0,10.0,Balance Sheet
Accrued Expenses,,,,,20.0,21.0,20.0,19.0,Balance Sheet
Notes Payable/ST Debt,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,5.0,6.0,6.0,6.0,Balance Sheet
Customer Advances,,,,,12.0,16.0,18.0,17.0,Balance Sheet
Other Payables,,,,,16.0,20.0,21.0,20.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,29.0,36.0,39.0,37.0,Balance Sheet
Total Current Liabilities,,,,,65.0,68.0,71.0,72.0,Balance Sheet
Long Term Debt,,,,,0.0,0.0,6.0,5.0,Balance Sheet
Capital Lease Obligations,,,,,5.0,7.0,,,Balance Sheet
Total Long Term Debt,,,,,5.0,7.0,6.0,5.0,Balance Sheet
Total Debt,,,,,10.0,13.0,12.0,11.0,Balance Sheet
"Other Liabilities, Total",,,,,1.0,1.0,1.0,1.0,Balance Sheet
