,GPOR,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,9.13,Valuation,
Price/Sales (TTM),2.3,7.57,Valuation,0.30383091149273445
Price/Book (MRQ),8.85,4.65,Valuation,1.9032258064516128
"PEG Ratio (TTM, GAAP)",,0.01,Valuation,
Gross Profit Margin (TTM),0.8338,0.35119999999999996,Profitability,2.374145785876993
Operating Profit Margin (TTM),-0.109,0.192,Profitability,-0.5677083333333334
Net Profit Margin (TTM),-0.2016,0.0358,Profitability,-5.631284916201118
Annual Dividend Yield,,0.0379,Dividend,
Dividend Change %,,0.13269999999999998,Dividend,
"Dividend Growth Rate, 3 Years",,0.10189999999999999,Dividend,
EPS Growth (MRQ),1.4834,2.3421000000000003,Gowth rates,0.6333632210409461
EPS Growth (TTM),-2.68,7.2215,Gowth rates,-0.37111403448037117
Revenue Growth (MRQ),2.5117,0.7168000000000001,Gowth rates,3.5040457589285707
Revenue Growth (TTM),0.042300000000000004,47.807,Gowth rates,0.0008848076641496016
Return On Equity (TTM),-0.4547,0.3993,Effectiveness,-1.1387427998998247
Return On Assets (TTM),-0.062400000000000004,0.15810000000000002,Effectiveness,-0.39468690702087283
Return On Investment (TTM),-0.1041,0.2237,Effectiveness,-0.4653553866785874
Revenue Per Employee (TTM),3243203.0,7554984.0,Effectiveness,0.4292799296464427
Total Debt/Total Capital (MRQ),0.7389,0.3658,Financial strength,2.0199562602515035
Change in Debt/Total Capital Quarter over Quarter,-0.003,-0.002,Financial strength,1.5
Quick Ratio (MRQ),,0.96,Financial strength,
Interest Coverage (MRQ),19.33,13.28,Financial strength,1.4555722891566265
