,GPOR
% Above Low,0.35590000000000005
% Held by Institutions,1.0679
52-Wk Range,['60.46 - 108.10']
Annual Dividend $,
Annual Dividend %,
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,
Bid,32.8
Bid Size,
Closing Price,81.98
Day Change $,0.47
Day Change %,0.0058
Day High,84.32
Day Low,81.78
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-6.59
Ex-dividend Date,No dividend
Historical Volatility,0.509
Last (size),5.0
Last (time),5:00p ET 11/25/22
Market Cap,1.6B
"P/E Ratio (TTM, GAAP)",
Prev Close,81.51
Short Interest,0.056299999999999996
Today's Open,82.06
Volume,10025.0
Volume 10-day Avg,58825.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.39139902014153494
Growth 2yr High Est,0.3137455288707205
Growth 2yr Consensus Est,0.3525722745061277
Growth 5yr Low Est,0.39139902014153494
Growth 5yr High Est,0.3137455288707205
Growth 5yr Consensus Est,0.3525722745061277
Growth 5yr Actual/Est,0.4660485054926784
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),2.29788
Price/Book (MRQ),8.8534
Price/Cash Flow (TTM),22.95202
5yr Low,58.71
5yr High,108.1
5yr Avg Return,0.1424
EPS Growth 5yr,
Revenue Growth 5yr,0.15950129999999998
Dividend Growth 5yr,
Short Int Current Month,1076754.0
Short Int Prev Month,1224429.0
Short Int Pct of Float,0.0563079
Days to Cover,10.39007
Float,19.1226
Shares Outstanding,19.27208
Institutions Holding Shares,165.0
FCF Growth 5yr,0.20909964398962652
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.8338
Operating Profit Margin (TTM),-0.109
Net Profit Margin (TTM),-0.2016
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),1.4834
EPS Growth (TTM),-2.68
Revenue Growth (MRQ),2.5117
Revenue Growth (TTM),0.042300000000000004
Return On Equity (TTM),-0.4547
Return On Assets (TTM),-0.062400000000000004
Return On Investment (TTM),-0.1041
Revenue Per Employee (TTM),3243203.0
Total Debt/Total Capital (MRQ),0.7389
Change in Debt/Total Capital Quarter over Quarter,-0.003
Quick Ratio (MRQ),
Interest Coverage (MRQ),19.33
theStreet,rating-box
researchTeam,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
theStreet since,2022-06-22 00:00:00
researchTeam since,2022-08-05 00:00:00
ford since,2022-10-14 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
