,SYY
% Below High,0.060599999999999994
% Held by Institutions,0.8168000000000001
52-Wk Range,['68.05 - 91.53']
Annual Dividend $,1.96
Annual Dividend %,0.0227
Ask,85.99
Ask Size,600.0
B/A Ratio,0.3333333333333333
B/A Size,200x600
Beta,1.1
Bid,85.97
Bid Size,200.0
Day Change $,-0.47
Day Change %,-0.0054
Day High,86.88
Day Low,85.4
Dividend Pay Date,2023-01-27 00:00:00
"EPS (TTM, GAAP)",2.82
Ex-dividend,2023-01-05 00:00:00
Ex-dividend Date,01/05/23
Historical Volatility,0.30100000000000005
Last (size),100.0
Last (time),3:55p ET 11/28/22
Market Cap,43.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",30.62
Prev Close,86.45
Price,85.98
Short Interest,0.0245
Today's Open,85.89
Volume Past Day,(Average)
Next Earnings Announcement,2023-01-31 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,0.2952380952380953
Growth 1yr High Est,0.18055555555555558
Growth 1yr Consensus Est,0.23789682539682544
Growth 2yr Low Est,0.21011904761904765
Growth 2yr High Est,0.19498366013071888
Growth 2yr Consensus Est,0.20255135387488327
Growth 5yr Low Est,0.30764573070607554
Growth 5yr High Est,0.2492775443510737
Growth 5yr Consensus Est,0.2784616375285746
Growth 5yr Actual/Est,0.34751111698996534
Growth 3yr Historic,0.24334058872305148
Price/Earnings (TTM),30.62291
Price/Sales (TTM),0.61439
Price/Book (MRQ),39.27892
Price/Cash Flow (TTM),19.71949
5yr Low,26.0
5yr High,91.53
5yr Avg Return,0.08543333333333335
EPS Growth 5yr,0.0488332
Revenue Growth 5yr,0.043887999999999996
Dividend Growth 5yr,0.079915
Short Int Current Month,12378251.0
Short Int Prev Month,12249496.0
Short Int Pct of Float,0.024470900000000004
Days to Cover,3.80345
Float,506.1827
Shares Outstanding,506.7675
Institutions Holding Shares,1700.0
FCF Growth 5yr,0.632026508862381
"Price/Earnings (TTM, GAAP)",30.62
"PEG Ratio (TTM, GAAP)",1.66
Gross Profit Margin (TTM),0.18
Operating Profit Margin (TTM),0.0342
Net Profit Margin (TTM),0.0203
Annual Dividend Yield,0.0227
Dividend Change %,0.0444
"Dividend Growth Rate, 3 Years",0.0782
EPS Growth (MRQ),-0.0817
EPS Growth (TTM),1.1231
Revenue Growth (MRQ),0.0089
Revenue Growth (TTM),0.27390000000000003
Return On Equity (TTM),1.0373
Return On Assets (TTM),0.0653
Return On Investment (TTM),0.105
Revenue Per Employee (TTM),1004316.0
Total Debt/Total Capital (MRQ),0.9042
Change in Debt/Total Capital Quarter over Quarter,-0.0003
Quick Ratio (MRQ),0.68
Interest Coverage (MRQ),6.23
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-11-01 00:00:00
theStreet since,2021-09-16 00:00:00
cfra since,2022-11-01 00:00:00
ford since,2022-08-12 00:00:00
marketEdge opinion since,
