,FICO,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",41.48,54.08,Valuation,0.7670118343195266
Price/Sales (TTM),10.68,9.39,Valuation,1.1373801916932906
Price/Book (MRQ),,12.63,Valuation,
"PEG Ratio (TTM, GAAP)",2.92,1.92,Valuation,1.5208333333333333
Gross Profit Margin (TTM),0.7806000000000001,0.7206,Profitability,1.083263946711074
Operating Profit Margin (TTM),0.39380000000000004,0.2172,Profitability,1.8130755064456723
Net Profit Margin (TTM),0.2712,0.1553,Profitability,1.7462974887314875
Annual Dividend Yield,,0.006999999999999999,Dividend,
Dividend Change %,,0.07940000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0703,Dividend,
EPS Growth (MRQ),-0.018500000000000003,-0.0752,Gowth rates,0.24601063829787237
EPS Growth (TTM),0.0587,-0.2824,Gowth rates,-0.20786118980169974
Revenue Growth (MRQ),-0.0006,0.15560000000000002,Gowth rates,-0.0038560411311053975
Revenue Growth (TTM),0.0461,0.1906,Gowth rates,0.24186778593913957
Return On Equity (TTM),,0.2189,Effectiveness,
Return On Assets (TTM),0.2482,0.10740000000000001,Effectiveness,2.3109869646182495
Return On Investment (TTM),0.3525,0.1387,Effectiveness,2.541456380677722
Revenue Per Employee (TTM),404603.0,667721.0,Effectiveness,0.6059461960908823
Total Debt/Total Capital (MRQ),1.7625,0.39659999999999995,Financial strength,4.444024205748866
Change in Debt/Total Capital Quarter over Quarter,0.006,0.0004,Financial strength,15.0
Quick Ratio (MRQ),,1.0,Financial strength,
Interest Coverage (MRQ),6.44,0.28,Financial strength,23.0
