,FICO
% Below High,0.0554
% Held by Institutions,0.8911
52-Wk Range,['340.48 - 623.61']
Annual Dividend $,
Annual Dividend %,
Ask,590.19
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.3
Bid,480.0
Bid Size,100.0
Closing Price,589.07
Day Change $,9.78
Day Change %,0.0169
Day High,589.97
Day Low,570.81
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",14.2
Ex-dividend Date,No dividend
Historical Volatility,0.485
Last (size),6.0
Last (time),5:00p ET 11/25/22
Market Cap,14.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",41.48
Prev Close,579.29
Short Interest,0.0355
Today's Open,576.59
Volume,84283.0
Volume 10-day Avg,308500.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,0.2026022304832713
Growth 1yr High Est,0.16000000000000014
Growth 1yr Consensus Est,0.18130111524163572
Growth 2yr Low Est,0.15771533471613342
Growth 2yr High Est,0.18295566502463056
Growth 2yr Consensus Est,0.170335499870382
Growth 5yr Low Est,0.15771533471613342
Growth 5yr High Est,0.18295566502463056
Growth 5yr Consensus Est,0.170335499870382
Growth 5yr Actual/Est,0.2402835365043816
Growth 3yr Historic,0.16416509620329373
Price/Earnings (TTM),41.48369
Price/Sales (TTM),10.68228
Price/Book (MRQ),
Price/Cash Flow (TTM),37.34052
5yr Low,152.47
5yr High,623.61
5yr Avg Return,0.29793333333333333
EPS Growth 5yr,0.2894315
Revenue Growth 5yr,0.0811971
Dividend Growth 5yr,
Short Int Current Month,870165.0
Short Int Prev Month,929205.0
Short Int Pct of Float,0.0355339
Days to Cover,2.74625
Float,24.57144
Shares Outstanding,24.97562
Institutions Holding Shares,747.0
FCF Growth 5yr,0.613457997923889
"Price/Earnings (TTM, GAAP)",41.48
"PEG Ratio (TTM, GAAP)",2.92
Gross Profit Margin (TTM),0.7806000000000001
Operating Profit Margin (TTM),0.39380000000000004
Net Profit Margin (TTM),0.2712
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.018500000000000003
EPS Growth (TTM),0.0587
Revenue Growth (MRQ),-0.0006
Revenue Growth (TTM),0.0461
Return On Equity (TTM),
Return On Assets (TTM),0.2482
Return On Investment (TTM),0.3525
Revenue Per Employee (TTM),404603.0
Total Debt/Total Capital (MRQ),1.7625
Change in Debt/Total Capital Quarter over Quarter,0.006
Quick Ratio (MRQ),
Interest Coverage (MRQ),6.44
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2022-09-01 00:00:00
researchTeam since,2022-08-20 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-08-05 00:00:00
ford since,2022-10-28 00:00:00
marketEdge opinion since,
