,MNKD,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),15.57,45.03,Valuation,0.3457694870086609
Price/Book (MRQ),,12.61,Valuation,
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),0.3072,0.5874,Profitability,0.5229826353421858
Operating Profit Margin (TTM),-0.9877,-4.7459,Profitability,0.20811647948755768
Net Profit Margin (TTM),-1.2793,-4.5467,Profitability,0.2813689049200519
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),0.5135000000000001,-0.0014000000000000002,Gowth rates,-366.7857142857143
EPS Growth (TTM),-0.1625,0.027200000000000002,Gowth rates,-5.974264705882352
Revenue Growth (MRQ),0.7373000000000001,1.3963999999999999,Gowth rates,0.5280005729017474
Revenue Growth (TTM),-0.0632,0.9747,Gowth rates,-0.06484046373243049
Return On Equity (TTM),,0.1967,Effectiveness,
Return On Assets (TTM),-0.3666,0.0016,Effectiveness,-229.12499999999997
Return On Investment (TTM),-0.4617,0.0219,Effectiveness,-21.08219178082192
Revenue Per Employee (TTM),219040.0,1476201.0,Effectiveness,0.14838087767180758
Total Debt/Total Capital (MRQ),2.7056,0.4675,Financial strength,5.787379679144385
Change in Debt/Total Capital Quarter over Quarter,0.0009,0.0036,Financial strength,0.25
Quick Ratio (MRQ),3.36,2.06,Financial strength,1.6310679611650485
Interest Coverage (MRQ),-4.05,2.69,Financial strength,-1.5055762081784387
