,UCTT
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,-0.024330900243309084
Growth 1yr High Est,-0.023809523809523947
Growth 1yr Consensus Est,-0.024070212026416515
Growth 2yr Low Est,-0.20044475186729044
Growth 2yr High Est,-0.16434378629500584
Growth 2yr Consensus Est,-0.18239426908114814
Growth 5yr Low Est,0.5547363900365295
Growth 5yr High Est,0.5780116732860636
Growth 5yr Consensus Est,0.5663740316612965
Growth 5yr Actual/Est,0.5486548361548361
Growth 3yr Historic,0.6442307692307692
