,NUE
% Below High,0.20600000000000002
% Held by Institutions,0.8086
52-Wk Range,['88.50 - 187.90']
Annual Dividend $,2.0
Annual Dividend %,0.0134
Ask,148.9
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.5
Bid,147.25
Bid Size,100.0
Change Since Close,0.00| |(0.00%)
Closing Price,149.19
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-11-10 00:00:00
"EPS (TTM, GAAP)",32.1
Ex-dividend,2022-09-29 00:00:00
Ex-dividend Date,09/29/22
Historical Volatility,0.48
Last (size),10.0
Last (time),5:00p ET 11/25/22
Last Trade,149.19
Market Cap,38.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",4.65
Prev Close,149.19
Short Interest,0.0337
Today's Open,
Volume,511.0
Volume 10-day Avg,1895935.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,0.22761358623731787
Growth 1yr High Est,0.19839357429718874
Growth 1yr Consensus Est,0.2130035802672533
Growth 2yr Low Est,-0.23797186300782325
Growth 2yr High Est,-0.1213125962294217
Growth 2yr Consensus Est,-0.17964222961862247
Growth 5yr Low Est,-0.23797186300782325
Growth 5yr High Est,-0.1213125962294217
Growth 5yr Consensus Est,-0.17964222961862247
Growth 5yr Actual/Est,1.3847909417179602
Growth 3yr Historic,1.4711409276701617
Price/Earnings (TTM),4.64745
Price/Sales (TTM),0.88693
Price/Book (MRQ),2.16133
Price/Cash Flow (TTM),3.78602
5yr Low,27.53
5yr High,187.9
5yr Avg Return,0.23066666666666666
EPS Growth 5yr,0.5631816
Revenue Growth 5yr,0.17617999999999998
Dividend Growth 5yr,0.015511299999999999
Short Int Current Month,8595559.0
Short Int Prev Month,8785126.0
Short Int Pct of Float,0.0337134
Days to Cover,4.38223
Float,255.1366
Shares Outstanding,256.5437
Institutions Holding Shares,1396.0
FCF Growth 5yr,0.3072983460967584
"Price/Earnings (TTM, GAAP)",4.65
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.32280000000000003
Operating Profit Margin (TTM),0.27440000000000003
Net Profit Margin (TTM),0.2107
Annual Dividend Yield,0.0134
Dividend Change %,0.0062
"Dividend Growth Rate, 3 Years",0.0215
EPS Growth (MRQ),-0.33799999999999997
EPS Growth (TTM),0.9032
Revenue Growth (MRQ),-0.1097
Revenue Growth (TTM),0.37520000000000003
Return On Equity (TTM),0.5503
Return On Assets (TTM),0.3189
Return On Investment (TTM),0.3958
Revenue Per Employee (TTM),1498365.0
Total Debt/Total Capital (MRQ),0.26280000000000003
Change in Debt/Total Capital Quarter over Quarter,-0.0008
Quick Ratio (MRQ),1.79
Interest Coverage (MRQ),69.5
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-10-21 00:00:00
theStreet since,2020-10-23 00:00:00
cfra since,2022-10-21 00:00:00
ford since,2022-10-21 00:00:00
marketEdge opinion since,
