,NUE
Price/Earnings (TTM),4.64745
Price/Sales (TTM),0.88693
Price/Book (MRQ),2.16133
Price/Cash Flow (TTM),3.78602
5yr Low,27.53
5yr High,187.9
5yr Avg Return,0.23066666666666666
EPS Growth 5yr,0.5631816
Revenue Growth 5yr,0.17617999999999998
Dividend Growth 5yr,0.015511299999999999
Short Int Current Month,8595559.0
Short Int Prev Month,8785126.0
Short Int Pct of Float,0.0337134
Days to Cover,4.38223
Float,255.1366
Shares Outstanding,256.5437
Institutions Holding Shares,1396.0
% Held by Institutions,0.808646
FCF Growth 5yr,0.3072983460967584
