,2017,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,16.41,16.43,23.08,28.65,50.51,48.97,,,,,
low,13.89,9.73,9.95,5.5,25.88,20.03,,,,,
change,0.0962,-0.3401,1.1364,0.2327,0.7373000000000001,-0.334,,,,,
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,,,301.0,116.0,110.0,94.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,,,482.0,488.0,544.0,550.0,Balance Sheet
Prov. for Doubtful Accts,,,,,,,-62.0,-62.0,-62.0,-62.0,Balance Sheet
"Total Receivables, Net",,,,,,,420.0,426.0,482.0,488.0,Balance Sheet
Invent. - Finished Goods,,,,,,,298.0,393.0,412.0,406.0,Balance Sheet
Invent. - Work In Progress,,,,,,,11.0,12.0,22.0,22.0,Balance Sheet
Invent. - Raw Materials,,,,,,,155.0,176.0,185.0,170.0,Balance Sheet
Total Inventory,,,,,,,464.0,581.0,619.0,599.0,Balance Sheet
Prepaid Expenses,,,,,,,92.0,95.0,94.0,95.0,Balance Sheet
Total Current Assets,,,,,,,1276.0,1219.0,1305.0,1276.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,,1064.0,1137.0,1181.0,1217.0,Balance Sheet
"Goodwill, Net",,,,,,,1107.0,1097.0,1067.0,1032.0,Balance Sheet
Intangibles - Net,,,,,,,751.0,744.0,728.0,709.0,Balance Sheet
Other Long Term Assets,,,,,,,112.0,112.0,112.0,105.0,Balance Sheet
Total Assets,,,,,,,4323.0,4322.0,4404.0,4352.0,Balance Sheet
Accounts Payable,,,,,,,432.0,462.0,433.0,440.0,Balance Sheet
Accrued Expenses,,,,,,,544.0,460.0,450.0,483.0,Balance Sheet
Notes Payable/ST Debt,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,,53.0,62.0,66.0,72.0,Balance Sheet
Customer Advances,,,,,,,,60.0,61.0,63.0,Balance Sheet
Income Taxes Payable,,,,,,,25.0,56.0,49.0,20.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,,25.0,116.0,109.0,83.0,Balance Sheet
Total Current Liabilities,,,,,,,1053.0,1101.0,1057.0,1078.0,Balance Sheet
Long Term Debt,,,,,,,2217.0,2589.0,2817.0,2731.0,Balance Sheet
Capital Lease Obligations,,,,,,,62.0,,,,Balance Sheet
Total Long Term Debt,,,,,,,2279.0,2589.0,2817.0,2731.0,Balance Sheet
Total Debt,,,,,,,2332.0,2651.0,2883.0,2803.0,Balance Sheet
Deferred Income Tax,,,,,,,129.0,128.0,119.0,113.0,Balance Sheet
Minority Interest,,,,,,,9.0,9.0,9.0,9.0,Balance Sheet
"Other Liabilities, Total",,,,,,,567.0,596.0,592.0,573.0,Balance Sheet
Total Liabilities,,,,,,,4038.0,4423.0,4594.0,4504.0,Balance Sheet
Common Stock,,,,,,,3.0,3.0,3.0,3.0,Balance Sheet
Additional Paid-In Capital,,,,,,,622.0,564.0,574.0,585.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,,2605.0,2717.0,2790.0,2904.0,Balance Sheet
Treasury Stock - Common,,,,,,,-2845.0,-3267.0,-3381.0,-3406.0,Balance Sheet
"Other Equity, Total",,,,,,,-99.0,-117.0,-175.0,-239.0,Balance Sheet
Total Equity,,,,,,,286.0,-101.0,-190.0,-153.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,,,4323.0,4322.0,4404.0,4352.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,,,187.0,177.0,172.0,171.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,,,96.0,107.0,111.0,112.0,Balance Sheet
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,,,,1360.0,1240.0,1211.0,1283.0,Income Statement
"Cost of Revenue, Total",,,,,,,755.0,717.0,715.0,742.0,Income Statement
Selling/Gen/Admin Expense,,,,,,,241.0,238.0,236.0,230.0,Income Statement
Advertising Expense,,,,,,,123.0,103.0,119.0,115.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,,,364.0,341.0,355.0,345.0,Income Statement
"Inter/Invest Inc, Operating",,,,,,,-10.0,-7.0,-3.0,-5.0,Income Statement
Other Unusual Expnse (In),,,,,,,0.0,0.0,0.0,0.0,Income Statement
Unusual Expense (Income),,,,,,,0.0,0.0,0.0,0.0,Income Statement
Total Operating Expense,,,,,,,1109.0,1051.0,1067.0,1082.0,Income Statement
Total Operating Income,,,,,,,251.0,189.0,144.0,201.0,Income Statement
"Inter Expse,Net Non-Operat",,,,,,,-21.0,-21.0,-24.0,-27.0,Income Statement
OtherNon-OperatInc (Expnse),,,,,,,1.0,1.0,-1.0,1.0,Income Statement
"Other, Net",,,,,,,1.0,1.0,-1.0,1.0,Income Statement
Income Before Tax,,,,,,,231.0,169.0,120.0,175.0,Income Statement
Income Tax - Total,,,,,,,54.0,38.0,28.0,41.0,Income Statement
Income After Tax,,,,,,,177.0,131.0,91.0,134.0,Income Statement
Minority Interest,,,,,,,-1.0,0.0,-1.0,-1.0,Income Statement
Net Inc Before Extra Items,,,,,,,176.0,131.0,91.0,134.0,Income Statement
Total Extraordinary Items,,,,,,,0.0,0.0,0.0,-1.0,Income Statement
Total Net Income,,,,,,,176.0,131.0,91.0,133.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,,,,176.0,131.0,91.0,134.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,,,,176.0,131.0,91.0,133.0,Income Statement
Basic/Primary Weighted Average Shares,,,,,,,191.0,183.0,174.0,172.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,,,,0.92,0.72,0.52,0.78,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,,,,0.92,0.72,0.52,0.77,Income Statement
Diluted Weighted Average Shares,,,,,,,200.0,189.0,179.0,177.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,,,,0.88,0.69,0.51,0.75,Income Statement
Diluted EPS Incl. Extra. Items,,,,,,,0.88,0.69,0.51,0.75,Income Statement
Div/Share-ComStockPrimIssue,,,,,,,0.09,0.1,0.1,0.1,Income Statement
Gross Divid - Common Stock,,,,,,,18.0,19.0,18.0,18.0,Income Statement
Pro Forma Net Income,,,,,,,,,,,Income Statement
"Interest Expense, Suppl",,,,,,,21.0,21.0,24.0,27.0,Income Statement
"Depreciat/Amort, Suppl",,,,,,,31.0,30.0,31.0,32.0,Income Statement
Total Special Items,,,,,,,0.0,0.0,0.0,0.0,Income Statement
Normalzd Income Before Tax,,,,,,,231.0,169.0,120.0,175.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,,,,,0.0,0.0,0.0,0.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,,,,,54.0,38.0,28.0,41.0,Income Statement
Normalized Income After Tax,,,,,,,177.0,131.0,91.0,134.0,Income Statement
Normalzd Inc Avail to Common,,,,,,,176.0,131.0,91.0,134.0,Income Statement
Basic Normalized EPS,,,,,,,0.92,0.72,0.52,0.78,Income Statement
Diluted Normalized EPS,,,,,,,0.88,0.69,0.51,0.75,Income Statement
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Cash Flow
Net Income,,,,,,,625.0,131.0,222.0,355.0,Cash Flow
Depreciation/Depletion,,,,,,,113.0,30.0,61.0,93.0,Cash Flow
Deferred Taxes,,,,,,,11.0,-1.0,-7.0,-10.0,Cash Flow
Discontinued Operations,,,,,,,0.0,0.0,0.0,0.0,Cash Flow
Unusual Items,,,,,,,4.0,0.0,0.0,0.0,Cash Flow
Equity in Net Earnings/Loss,,,,,,,-31.0,-7.0,-10.0,-14.0,Cash Flow
Other Non-Cash Items,,,,,,,68.0,16.0,33.0,46.0,Cash Flow
Non-Cash Items,,,,,,,41.0,9.0,23.0,31.0,Cash Flow
"Cash Taxes Pd, Supplemental",,,,,,,185.0,-15.0,-48.0,105.0,Cash Flow
"Cash Interest Pd, Suppl",,,,,,,55.0,5.0,46.0,57.0,Cash Flow
Changes in Working Capital,,,,,,,-68.0,-84.0,-234.0,-187.0,Cash Flow
Total Cash from Operations,,,,,,,722.0,86.0,67.0,283.0,Cash Flow
Capital Expenditures,,,,,,,-123.0,-60.0,-130.0,-216.0,Cash Flow
Acquisition of Business,,,,,,,-433.0,0.0,0.0,0.0,Cash Flow
