,TPX,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",11.09,7.14,Valuation,1.5532212885154062
Price/Sales (TTM),1.06,7.33,Valuation,0.1446111869031378
Price/Book (MRQ),,2.07,Valuation,
"PEG Ratio (TTM, GAAP)",3.7,0.43,Valuation,8.604651162790699
Gross Profit Margin (TTM),0.425,0.3091,Profitability,1.3749595600129407
Operating Profit Margin (TTM),0.154,0.1507,Profitability,1.0218978102189782
Net Profit Margin (TTM),0.10460000000000001,0.11320000000000001,Profitability,0.9240282685512368
Annual Dividend Yield,0.012700000000000001,0.016399999999999998,Dividend,0.7743902439024392
Dividend Change %,,0.2639,Dividend,
"Dividend Growth Rate, 3 Years",,0.1757,Dividend,
EPS Growth (MRQ),0.48850000000000005,-0.0688,Gowth rates,-7.100290697674419
EPS Growth (TTM),-0.0108,0.16670000000000001,Gowth rates,-0.0647870425914817
Revenue Growth (MRQ),0.059699999999999996,0.1173,Gowth rates,0.5089514066496164
Revenue Growth (TTM),0.1005,0.149,Gowth rates,0.6744966442953021
Return On Equity (TTM),5.0567,0.38439999999999996,Effectiveness,13.154786680541104
Return On Assets (TTM),0.1208,0.135,Effectiveness,0.8948148148148148
Return On Investment (TTM),0.1623,0.1699,Effectiveness,0.9552678045909359
Revenue Per Employee (TTM),424450.0,1633986.0,Effectiveness,0.25976354754569503
Total Debt/Total Capital (MRQ),1.0539,0.29309999999999997,Financial strength,3.5957011258955993
Change in Debt/Total Capital Quarter over Quarter,0.0023,-0.0005,Financial strength,-4.6
Quick Ratio (MRQ),0.63,0.53,Financial strength,1.1886792452830188
Interest Coverage (MRQ),8.95,51.09,Financial strength,0.17518105304364845
