,TPX
% Above Low,0.5652
% Held by Institutions,0.9828
52-Wk Range,['20.03 - 48.97']
Annual Dividend $,0.4
Annual Dividend %,0.0127
Ask,31.9
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.8
Bid,30.9
Bid Size,100.0
Change Since Close,0.00| |(0.00%)
Closing Price,31.35
Day Change $,-0.11
Day Change %,-0.0034999999999999996
Day High,31.54
Day Low,30.98
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",2.84
Ex-dividend,2022-11-16 00:00:00
Ex-dividend Date,11/16/22
Historical Volatility,0.552
Last (size),1.0
Last (time),4:10p ET 11/28/22
Last Trade,0.0
Market Cap,5.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",11.09
Prev Close,31.46
Short Interest,0.0584
Today's Open,31.09
Volume,2055186.0
Volume 10-day Avg,1520222.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,-0.21604938271604945
Growth 1yr High Est,-0.20731707317073167
Growth 1yr Consensus Est,-0.21168322794339056
Growth 2yr Low Est,-0.2044813842714106
Growth 2yr High Est,-0.026735459662288963
Growth 2yr Consensus Est,-0.11560842196684978
Growth 5yr Low Est,-0.2044813842714106
Growth 5yr High Est,-0.026735459662288963
Growth 5yr Consensus Est,-0.11560842196684978
Growth 5yr Actual/Est,0.359095839719804
Growth 3yr Historic,0.3950392670157068
Price/Earnings (TTM),11.09301
Price/Sales (TTM),1.05611
Price/Book (MRQ),
Price/Cash Flow (TTM),8.19121
5yr Low,5.5
5yr High,50.51
5yr Avg Return,0.25475
EPS Growth 5yr,0.2925475
Revenue Growth 5yr,0.0987068
Dividend Growth 5yr,
Short Int Current Month,9706277.0
Short Int Prev Month,11493833.0
Short Int Pct of Float,0.0583549
Days to Cover,3.42699
Float,166.4459
Shares Outstanding,170.9843
Institutions Holding Shares,409.0
FCF Growth 5yr,-2.1477211034807024
"Price/Earnings (TTM, GAAP)",11.09
"PEG Ratio (TTM, GAAP)",3.7
Gross Profit Margin (TTM),0.425
Operating Profit Margin (TTM),0.154
Net Profit Margin (TTM),0.10460000000000001
Annual Dividend Yield,0.012700000000000001
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.48850000000000005
EPS Growth (TTM),-0.0108
Revenue Growth (MRQ),0.059699999999999996
Revenue Growth (TTM),0.1005
Return On Equity (TTM),5.0567
Return On Assets (TTM),0.1208
Return On Investment (TTM),0.1623
Revenue Per Employee (TTM),424450.0
Total Debt/Total Capital (MRQ),1.0539
Change in Debt/Total Capital Quarter over Quarter,0.0023
Quick Ratio (MRQ),0.63
Interest Coverage (MRQ),8.95
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-02-11 00:00:00
theStreet since,2022-04-29 00:00:00
cfra since,2022-04-08 00:00:00
ford since,2022-02-11 00:00:00
marketEdge opinion since,
